Name,Class,Model,Role,PV,BV,Type,Size,Tonnage,Move,Short,Medium,Long,Overheat,Armor,Structure,Specials,ImageURL,MULId
"Gladiator Exoskeleton ""The Spider"" (Sqd4)","Gladiator Exoskeleton ""The Spider""",(Sqd4),Ambusher,7,44,BA,1,0.4,"4""j",1,0,0,0,0,2,"AM,CAR4,XMEC",https://i.ibb.co/HtPyP0z/gladiator-exo-trva.png,1212
"Gladiator Exoskeleton ""The Spider"" (Sqd5)","Gladiator Exoskeleton ""The Spider""",(Sqd5),Ambusher,6,60,BA,1,0.4,"4""f",0,0,0,0,0,2,"AM,CAR5,XMEC",https://i.ibb.co/HtPyP0z/gladiator-exo-trva.png,8516
"Gladiator Exoskeleton ""The Spider"" (Sqd6)","Gladiator Exoskeleton ""The Spider""",(Sqd6),Ambusher,6,77,BA,1,0.4,"4""f",0,0,0,0,0,2,"AM,CAR6,XMEC",https://i.ibb.co/HtPyP0z/gladiator-exo-trva.png,8880
Gladiator Exoskeleton [Armored Glove] (Sqd4),Gladiator Exoskeleton,[Armored Glove] (Sqd4),None,5,34,BA,1,0.4,"2""f",0,0,0,0,0,2,"AM,CAR4,MEC",https://i.ibb.co/HtPyP0z/gladiator-exo-trva.png,4216
Gladiator Exoskeleton [Armored Glove] (Sqd5),Gladiator Exoskeleton,[Armored Glove] (Sqd5),None,5,46,BA,1,0.4,"2""f",0,0,0,0,0,2,"AM,CAR5,MEC",https://i.ibb.co/HtPyP0z/gladiator-exo-trva.png,8620
Gladiator Exoskeleton [Armored Glove] (Sqd6),Gladiator Exoskeleton,[Armored Glove] (Sqd6),None,5,59,BA,1,0.4,"2""f",0,0,0,0,0,2,"AM,CAR6,MEC",https://i.ibb.co/HtPyP0z/gladiator-exo-trva.png,8984
Gladiator Exoskeleton [Industrial Drill] (Sqd4),Gladiator Exoskeleton,[Industrial Drill] (Sqd4),None,5,34,BA,1,0.4,"2""f",0,0,0,0,0,2,"AM,CAR4,MEC",https://i.ibb.co/HtPyP0z/gladiator-exo-trva.png,7206
Gladiator Exoskeleton [Industrial Drill] (Sqd5),Gladiator Exoskeleton,[Industrial Drill] (Sqd5),None,5,46,BA,1,0.4,"2""f",0,0,0,0,0,2,"AM,CAR5,MEC",https://i.ibb.co/HtPyP0z/gladiator-exo-trva.png,8808
Gladiator Exoskeleton [Industrial Drill] (Sqd6),Gladiator Exoskeleton,[Industrial Drill] (Sqd6),None,5,59,BA,1,0.4,"2""f",0,0,0,0,0,2,"AM,CAR6,MEC",https://i.ibb.co/HtPyP0z/gladiator-exo-trva.png,9171
"Gorilla Exoskeleton ""Falcata"" (Sqd4)",Gorilla Exoskeleton,"""Falcata"" (Sqd4)",None,7,60,BA,1,0.4,"2""f",2,0,0,0,0,2,"AM,CAR4,MEC",https://i.ibb.co/Stv46CX/gorilla-salrilla-trva.png,5440
"Gorilla Exoskeleton ""Falcata"" (Sqd5)",Gorilla Exoskeleton,"""Falcata"" (Sqd5)",None,7,77,BA,1,0.4,"2""f",2,0,0,0,0,0,"AM,CAR5,MEC",https://i.ibb.co/Stv46CX/gorilla-salrilla-trva.png,8705
"Gorilla Exoskeleton ""Falcata"" (Sqd6)",Gorilla Exoskeleton,"""Falcata"" (Sqd6)",None,7,99,BA,1,0.4,"2""f",2,0,0,0,0,0,"AM,CAR6,MEC",https://i.ibb.co/Stv46CX/gorilla-salrilla-trva.png,9069
Gorilla Exoskeleton PEX-2B (Sqd4),Gorilla Exoskeleton,PEX-2B (Sqd4),None,5,20,BA,1,0.4,"2""f",0,0,0,0,0,2,"CAR4,MEC,SRCH",https://i.ibb.co/Stv46CX/gorilla-salrilla-trva.png,4225
Gorilla Exoskeleton PEX-2B (Sqd5),Gorilla Exoskeleton,PEX-2B (Sqd5),None,5,27,BA,1,0.4,"2""f",0,0,0,0,0,2,"CAR5,MEC,SRCH",https://i.ibb.co/Stv46CX/gorilla-salrilla-trva.png,8624
Gorilla Exoskeleton PEX-2B (Sqd6),Gorilla Exoskeleton,PEX-2B (Sqd6),None,5,35,BA,1,0.4,"2""f",0,0,0,0,0,2,"CAR6,MEC,SRCH",https://i.ibb.co/Stv46CX/gorilla-salrilla-trva.png,8988
"Groundhog Exoskeleton “Master Thief"" (Sqd1)","Groundhog Exoskeleton “Master Thief""",(Sqd1),None,6,4,BA,1,0.4,"6""f",0,0,0,0,0,2,"CAR1,MEC",https://i.ibb.co/WWbyKG4/groundhog-trva.png,5791
Groundhog Exoskeleton CEX-205  [Armored Glove] (Sqd5),Groundhog Exoskeleton,CEX-205  [Armored Glove] (Sqd5),None,6,50,BA,1,0.4,"6""f",0,0,0,0,0,2,"AM,CAR5,MEC,SRCH",https://i.ibb.co/WWbyKG4/groundhog-trva.png,8634
Groundhog Exoskeleton CEX-205  [Armored Glove] (Sqd6),Groundhog Exoskeleton,CEX-205  [Armored Glove] (Sqd6),None,6,65,BA,1,0.4,"6""f",0,0,0,0,0,2,"AM,CAR6,MEC,SRCH",https://i.ibb.co/WWbyKG4/groundhog-trva.png,8998
Groundhog Exoskeleton CEX-205 [Armored Glove] (Sqd4),Groundhog Exoskeleton,CEX-205 [Armored Glove] (Sqd4),None,6,37,BA,1,0.4,"6""f",0,0,0,0,0,2,"AM,CAR4,MEC,SRCH",https://i.ibb.co/WWbyKG4/groundhog-trva.png,4252
Groundhog Exoskeleton CEX-205 [Basic Manipulator] (Sqd4),Groundhog Exoskeleton,CEX-205 [Basic Manipulator] (Sqd4),None,6,37,BA,1,0.4,"6""f",0,0,0,0,0,2,"AM,CAR4,MEC,SRCH",https://i.ibb.co/WWbyKG4/groundhog-trva.png,7207
Groundhog Exoskeleton CEX-205 [Basic Manipulator] (Sqd5),Groundhog Exoskeleton,CEX-205 [Basic Manipulator] (Sqd5),None,6,50,BA,1,0.4,"6""f",0,0,0,0,0,2,"AM,CAR5,MEC,SRCH",https://i.ibb.co/WWbyKG4/groundhog-trva.png,8809
Groundhog Exoskeleton CEX-205 [Basic Manipulator] (Sqd6),Groundhog Exoskeleton,CEX-205 [Basic Manipulator] (Sqd6),None,6,65,BA,1,0.4,"6""f",0,0,0,0,0,2,"AM,CAR6,MEC,SRCH",https://i.ibb.co/WWbyKG4/groundhog-trva.png,9172
Groundhog Exoskeleton CEX-205 [Cargo Lifter] (Sqd4),Groundhog Exoskeleton,CEX-205 [Cargo Lifter] (Sqd4),None,6,37,BA,1,0.4,"6""f",0,0,0,0,0,2,"AM,CAR4",https://i.ibb.co/WWbyKG4/groundhog-trva.png,7208
Groundhog Exoskeleton CEX-205 [Cargo Lifter] (Sqd5),Groundhog Exoskeleton,CEX-205 [Cargo Lifter] (Sqd5),None,6,50,BA,1,0.4,"6""f",0,0,0,0,0,2,"CAR5,SRCH",https://i.ibb.co/WWbyKG4/groundhog-trva.png,8810
Groundhog Exoskeleton CEX-205 [Cargo Lifter] (Sqd6),Groundhog Exoskeleton,CEX-205 [Cargo Lifter] (Sqd6),None,6,65,BA,1,0.4,"6""f",0,0,0,0,0,2,"AM,CAR6",https://i.ibb.co/WWbyKG4/groundhog-trva.png,9173
Groundhog Exoskeleton CEX-205 [Industrial Drill] (Sqd4),Groundhog Exoskeleton,CEX-205 [Industrial Drill] (Sqd4),None,6,37,BA,1,0.4,"6""f",0,0,0,0,0,2,"AM,CAR4",https://i.ibb.co/WWbyKG4/groundhog-trva.png,7209
Groundhog Exoskeleton CEX-205 [Industrial Drill] (Sqd5),Groundhog Exoskeleton,CEX-205 [Industrial Drill] (Sqd5),None,6,50,BA,1,0.4,"6""f",0,0,0,0,0,2,"CAR5,SRCH",https://i.ibb.co/WWbyKG4/groundhog-trva.png,8811
Groundhog Exoskeleton CEX-205 [Industrial Drill] (Sqd6),Groundhog Exoskeleton,CEX-205 [Industrial Drill] (Sqd6),None,6,65,BA,1,0.4,"6""f",0,0,0,0,0,2,"AM,CAR6",https://i.ibb.co/WWbyKG4/groundhog-trva.png,9174
Groundhog Exoskeleton CEX-205 [Mine Clearance] (Sqd4),Groundhog Exoskeleton,CEX-205 [Mine Clearance] (Sqd4),None,6,37,BA,1,0.4,"6""f",0,0,0,0,0,2,"AM,CAR4,MEC,MSW,SRCH",https://i.ibb.co/WWbyKG4/groundhog-trva.png,7210
Groundhog Exoskeleton CEX-205 [Mine Clearance] (Sqd5),Groundhog Exoskeleton,CEX-205 [Mine Clearance] (Sqd5),None,6,50,BA,1,0.4,"6""f",0,0,0,0,0,2,"AM,CAR5,MEC,MSW,SRCH",https://i.ibb.co/WWbyKG4/groundhog-trva.png,8812
Groundhog Exoskeleton CEX-205 [Mine Clearance] (Sqd6),Groundhog Exoskeleton,CEX-205 [Mine Clearance] (Sqd6),None,6,65,BA,1,0.4,"6""f",0,0,0,0,0,2,"AM,CAR6,MEC,MSW,SRCH",https://i.ibb.co/WWbyKG4/groundhog-trva.png,9175
Groundhog Exoskeleton CEX-205 [Salvage Arm] (Sqd4),Groundhog Exoskeleton,CEX-205 [Salvage Arm] (Sqd4),None,6,37,BA,1,0.4,"6""f",0,0,0,0,0,2,"AM,CAR4",https://i.ibb.co/WWbyKG4/groundhog-trva.png,7211
Groundhog Exoskeleton CEX-205 [Salvage Arm] (Sqd5),Groundhog Exoskeleton,CEX-205 [Salvage Arm] (Sqd5),None,6,50,BA,1,0.4,"6""f",0,0,0,0,0,2,"CAR5,SRCH",https://i.ibb.co/WWbyKG4/groundhog-trva.png,8813
Groundhog Exoskeleton CEX-205 [Salvage Arm] (Sqd6),Groundhog Exoskeleton,CEX-205 [Salvage Arm] (Sqd6),None,6,65,BA,1,0.4,"6""f",0,0,0,0,0,2,"AM,CAR6",https://i.ibb.co/WWbyKG4/groundhog-trva.png,9176
Hantu  AIX-210 (Sqd4),Hantu ,AIX-210 (Sqd4),Ambusher,8,44,BA,1,0.4,"6""f",0,0,0,0,0,2,"AM,CAR4,MEC,STL",https://i.ibb.co/WWbyKG4/groundhog-trva.png,9244
Hantu  AIX-210 (Sqd5),Hantu ,AIX-210 (Sqd5),Ambusher,8,59,BA,1,0.4,"6""f",0,0,0,0,0,2,"AM,CAR5,MEC,STL",https://i.ibb.co/WWbyKG4/groundhog-trva.png,9245
Hantu  AIX-210 (Sqd6),Hantu ,AIX-210 (Sqd6),Ambusher,8,72,BA,1,0.4,"6""f",0,0,0,0,0,2,"AM,CAR6,MEC,STL",https://i.ibb.co/WWbyKG4/groundhog-trva.png,9246
HeavyHauler Exoskeleton (Sqd4),HeavyHauler Exoskeleton,(Sqd4),None,5,6,BA,1,0.4,"2""f",0,0,0,0,0,2,"CAR4,SRCH",https://i.ibb.co/PN76gXQ/heavyhauler-trva.png,4281
HeavyHauler Exoskeleton (Sqd5),HeavyHauler Exoskeleton,(Sqd5),None,5,8,BA,1,0.4,"2""f",0,0,0,0,0,2,"CAR5,SRCH",https://i.ibb.co/PN76gXQ/heavyhauler-trva.png,8638
HeavyHauler Exoskeleton (Sqd6),HeavyHauler Exoskeleton,(Sqd6),None,5,10,BA,1,0.4,"2""f",0,0,0,0,0,2,"CAR6,SRCH",https://i.ibb.co/PN76gXQ/heavyhauler-trva.png,9002
Krise PA(L) (Sqd4),Krise PA(L),(Sqd4),None,10,30,BA,1,0.4,"6""j",0,0,0,0,0,2,"CAR4,MEC,RCN,SRCH",https://i.ibb.co/1zGZtZL/resgate-krise-trva.png,4465
Krise PA(L) (Sqd5),Krise PA(L),(Sqd5),None,10,41,BA,1,0.4,"6""j",0,0,0,0,0,2,"CAR5,MEC,RCN,SRCH",https://i.ibb.co/1zGZtZL/resgate-krise-trva.png,8644
Krise PA(L) (Sqd6),Krise PA(L),(Sqd6),None,10,53,BA,1,0.4,"6""j",0,0,0,0,0,2,"CAR6,MEC,RCN,SRCH",https://i.ibb.co/1zGZtZL/resgate-krise-trva.png,9008
Nighthawk PA(L) Mk. XXI (Sqd4),Nighthawk PA(L),Mk. XXI (Sqd4),Ambusher,10,55,BA,1,0.4,"6""j",0,0,0,0,0,2,"AM,CAR4,LECM,MEC,STL",https://i.ibb.co/H2hCG3n/nighthawk-3075.png,4718
Nighthawk PA(L) Mk. XXI (Sqd5),Nighthawk PA(L),Mk. XXI (Sqd5),Ambusher,10,74,BA,1,0.4,"6""j",0,0,0,0,0,2,"AM,CAR5,LECM,MEC,STL",https://i.ibb.co/H2hCG3n/nighthawk-3075.png,8651
Nighthawk PA(L) Mk. XXI (Sqd6),Nighthawk PA(L),Mk. XXI (Sqd6),Ambusher,10,95,BA,1,0.4,"6""j",0,0,0,0,0,2,"AM,CAR6,LECM,MEC,STL",https://i.ibb.co/H2hCG3n/nighthawk-3075.png,9015
Nighthawk PA(L) Mk. XXII (Sqd4),Nighthawk PA(L),Mk. XXII (Sqd4),Ambusher,10,63,BA,1,0.4,"6""j",1,0,0,0,0,2,"AM,CAR4,MEC,STL",https://i.ibb.co/H2hCG3n/nighthawk-3075.png,4719
Nighthawk PA(L) Mk. XXII (Sqd5),Nighthawk PA(L),Mk. XXII (Sqd5),Ambusher,10,85,BA,1,0.4,"6""j",1,0,0,0,0,2,"AM,CAR5,MEC,STL",https://i.ibb.co/H2hCG3n/nighthawk-3075.png,8652
Nighthawk PA(L) Mk. XXII (Sqd6),Nighthawk PA(L),Mk. XXII (Sqd6),Ambusher,10,109,BA,1,0.4,"6""j",1,0,0,0,0,2,"AM,CAR6,MEC,STL",https://i.ibb.co/H2hCG3n/nighthawk-3075.png,9016
Nighthawk PA(L) Mk. XXX (Bounty Hunter) (Sqd4),Nighthawk PA(L),Mk. XXX (Bounty Hunter) (Sqd4),Ambusher,6,37,BA,1,0.4,"6""f",0,0,0,0,0,2,"AM,CAR4,MEC",https://i.ibb.co/H2hCG3n/nighthawk-3075.png,4721
Nighthawk PA(L) Mk. XXX (Bounty Hunter) (Sqd5),Nighthawk PA(L),Mk. XXX (Bounty Hunter) (Sqd5),Ambusher,8,50,BA,1,0.4,"6""f",0,0,0,0,0,2,"AM,CAR5,MEC,STL",https://i.ibb.co/H2hCG3n/nighthawk-3075.png,8654
Nighthawk PA(L) Mk. XXX (Bounty Hunter) (Sqd6),Nighthawk PA(L),Mk. XXX (Bounty Hunter) (Sqd6),Ambusher,8,65,BA,1,0.4,"6""f",0,0,0,0,0,2,"AM,CAR6,MEC,STL",https://i.ibb.co/H2hCG3n/nighthawk-3075.png,9018
Nighthawk PA(L) Mk. XXX (Sqd4),Nighthawk PA(L),Mk. XXX (Sqd4),Ambusher,10,47,BA,1,0.4,"6""j",0,0,0,0,0,2,"AM,CAR4,MEC,STL",https://i.ibb.co/H2hCG3n/nighthawk-3075.png,4720
Nighthawk PA(L) Mk. XXX (Sqd5),Nighthawk PA(L),Mk. XXX (Sqd5),Ambusher,10,63,BA,1,0.4,"6""j",0,0,0,0,0,2,"AM,CAR5,MEC,STL",https://i.ibb.co/H2hCG3n/nighthawk-3075.png,8653
Nighthawk PA(L) Mk. XXX (Sqd6),Nighthawk PA(L),Mk. XXX (Sqd6),Ambusher,10,81,BA,1,0.4,"6""j",0,0,0,0,0,2,"AM,CAR6,MEC,STL",https://i.ibb.co/H2hCG3n/nighthawk-3075.png,9017
PowerLoader Exoskeleton P-5000 (Sqd4),PowerLoader Exoskeleton,P-5000 (Sqd4),None,5,20,BA,1,0.4,"4""f",0,0,0,0,0,2,CAR4,https://i.ibb.co/g3zCcvn/powerloader-trva.png,4851
PowerLoader Exoskeleton P-5000 (Sqd5),PowerLoader Exoskeleton,P-5000 (Sqd5),None,5,27,BA,1,0.4,"4""f",0,0,0,0,0,2,CAR5,https://i.ibb.co/g3zCcvn/powerloader-trva.png,8658
PowerLoader Exoskeleton P-5000 (Sqd6),PowerLoader Exoskeleton,P-5000 (Sqd6),None,5,35,BA,1,0.4,"4""f",0,0,0,0,0,2,CAR6,https://i.ibb.co/g3zCcvn/powerloader-trva.png,9022
Resgate PA(L) (Interdictor) (Sqd4),Resgate PA(L),(Interdictor) (Sqd4),Ambusher,10,61,BA,1,0.4,"6""j",0,0,0,0,0,2,"AM,CAR4,FR,LECM",https://i.ibb.co/1zGZtZL/resgate-krise-trva.png,7202
Resgate PA(L) (Interdictor) (Sqd5),Resgate PA(L),(Interdictor) (Sqd5),Ambusher,10,82,BA,1,0.4,"6""j",0,0,0,0,0,2,"CAR5,FR,LECM",https://i.ibb.co/1zGZtZL/resgate-krise-trva.png,8804
Resgate PA(L) (Interdictor) (Sqd6),Resgate PA(L),(Interdictor) (Sqd6),Ambusher,10,105,BA,1,0.4,"6""j",0,0,0,0,0,2,"CAR6,FR,LECM",https://i.ibb.co/1zGZtZL/resgate-krise-trva.png,9167
Resgate PA(L) (Scout) (Sqd4),Resgate PA(L),(Scout) (Sqd4),Ambusher,11,61,BA,1,0.4,"6""j",0,0,0,0,0,2,"AM,CAR4,FR,MEC,RCN",https://i.ibb.co/1zGZtZL/resgate-krise-trva.png,7203
Resgate PA(L) (Scout) (Sqd5),Resgate PA(L),(Scout) (Sqd5),Ambusher,11,82,BA,1,0.4,"6""j",0,0,0,0,0,2,"CAR5,FR,RCN",https://i.ibb.co/1zGZtZL/resgate-krise-trva.png,8805
Resgate PA(L) (Scout) (Sqd6),Resgate PA(L),(Scout) (Sqd6),Ambusher,11,105,BA,1,0.4,"6""j",0,0,0,0,0,2,"CAR6,FR,RCN",https://i.ibb.co/1zGZtZL/resgate-krise-trva.png,9168
Resgate PA(L) (Spotter) (Sqd4),Resgate PA(L),(Spotter) (Sqd4),Ambusher,10,54,BA,1,0.4,"6""j",0,0,0,0,0,2,"AM,CAR4,FR,LTAG",https://i.ibb.co/1zGZtZL/resgate-krise-trva.png,7204
Resgate PA(L) (Spotter) (Sqd5),Resgate PA(L),(Spotter) (Sqd5),Ambusher,10,73,BA,1,0.4,"6""j",0,0,0,0,0,2,"CAR5,FR,LTAG",https://i.ibb.co/1zGZtZL/resgate-krise-trva.png,8806
Resgate PA(L) (Spotter) (Sqd6),Resgate PA(L),(Spotter) (Sqd6),Ambusher,10,94,BA,1,0.4,"6""j",0,0,0,0,0,2,"CAR6,FR,LTAG",https://i.ibb.co/1zGZtZL/resgate-krise-trva.png,9169
Resgate PA(L) (Sqd4),Resgate PA(L),(Sqd4),Ambusher,11,61,BA,1,0.4,"6""j",0,0,0,0,0,2,"CAR4,FR,MEC,RCN",https://i.ibb.co/1zGZtZL/resgate-krise-trva.png,4909
Resgate PA(L) (Sqd5),Resgate PA(L),(Sqd5),Ambusher,11,82,BA,1,0.4,"6""j",0,0,0,0,0,2,"CAR5,FR,MEC,RCN",https://i.ibb.co/1zGZtZL/resgate-krise-trva.png,8659
Resgate PA(L) (Sqd6),Resgate PA(L),(Sqd6),Ambusher,11,105,BA,1,0.4,"6""j",0,0,0,0,0,2,"CAR6,FR,MEC,RCN",https://i.ibb.co/1zGZtZL/resgate-krise-trva.png,9023
Resgate PA(L) (Support) (Sqd4),Resgate PA(L),(Support) (Sqd4),None,11,94,BA,1,0.4,"6""j",1,0,0,0,0,2,"AM,CAR4,FR,MEC",https://i.ibb.co/1zGZtZL/resgate-krise-trva.png,7205
Resgate PA(L) (Support) (Sqd5),Resgate PA(L),(Support) (Sqd5),None,11,127,BA,1,0.4,"6""j",1,0,0,0,0,2,"CAR5,FR,MEC",https://i.ibb.co/1zGZtZL/resgate-krise-trva.png,8807
Resgate PA(L) (Support) (Sqd6),Resgate PA(L),(Support) (Sqd6),None,11,203,BA,1,0.4,"6""j",1,0,0,0,0,2,"CAR6,FR,MEC",https://i.ibb.co/1zGZtZL/resgate-krise-trva.png,9170
Salrilla Exoskeleton  PEX-2F [Salvage Arm] (Sqd4),Salrilla Exoskeleton, PEX-2F [Salvage Arm] (Sqd4),None,6,37,BA,1,0.4,"6""f",0,0,0,0,0,2,"CAR4,MEC,SRCH",https://i.ibb.co/Stv46CX/gorilla-salrilla-trva.png,4969
Salrilla Exoskeleton  PEX-2F [Salvage Arm] (Sqd5),Salrilla Exoskeleton, PEX-2F [Salvage Arm] (Sqd5),None,6,50,BA,1,0.4,"6""f",0,0,0,0,0,2,"CAR5,MEC,SRCH",https://i.ibb.co/Stv46CX/gorilla-salrilla-trva.png,8666
Salrilla Exoskeleton  PEX-2F [Salvage Arm] (Sqd6),Salrilla Exoskeleton, PEX-2F [Salvage Arm] (Sqd6),None,6,65,BA,1,0.4,"6""f",0,0,0,0,0,2,"CAR6,MEC,SRCH",https://i.ibb.co/Stv46CX/gorilla-salrilla-trva.png,9030
Salrilla Exoskeleton PEX-2F [Mine Clearance] (Sqd4),Salrilla Exoskeleton,PEX-2F [Mine Clearance] (Sqd4),None,6,37,BA,1,0.4,"6""f",0,0,0,0,0,2,"AM,CAR4,MEC,MSW,SRCH",https://i.ibb.co/Stv46CX/gorilla-salrilla-trva.png,7212
Salrilla Exoskeleton PEX-2F [Mine Clearance] (Sqd5),Salrilla Exoskeleton,PEX-2F [Mine Clearance] (Sqd5),None,6,50,BA,1,0.4,"6""f",0,0,0,0,0,2,"AM,CAR5,MEC,MSW,SRCH",https://i.ibb.co/Stv46CX/gorilla-salrilla-trva.png,8814
Salrilla Exoskeleton PEX-2F [Mine Clearance] (Sqd6),Salrilla Exoskeleton,PEX-2F [Mine Clearance] (Sqd6),None,6,65,BA,1,0.4,"6""f",0,0,0,0,0,2,"AM,CAR6,MEC,MSW,SRCH",https://i.ibb.co/Stv46CX/gorilla-salrilla-trva.png,9177
Smoothdavid PA(L) II (Sqd4),Smoothdavid PA(L),II (Sqd4),None,6,22,BA,1,0.4,"6""f",0,0,0,0,0,2,"AM,CAR4,MEC",https://i.ibb.co/r2Q97gT/smoothdavid-trva.png,5090
Smoothdavid PA(L) II (Sqd5),Smoothdavid PA(L),II (Sqd5),None,7,29,BA,1,0.4,"6""f",1,0,0,0,0,2,"AM,CAR5,MEC,SRCH",https://i.ibb.co/r2Q97gT/smoothdavid-trva.png,8675
Smoothdavid PA(L) II (Sqd6),Smoothdavid PA(L),II (Sqd6),None,7,38,BA,1,0.4,"6""f",1,0,0,0,0,2,"AM,CAR6,MEC,SRCH",https://i.ibb.co/r2Q97gT/smoothdavid-trva.png,9039
Smoothdavid PA(L) III (Sqd4),Smoothdavid PA(L),III (Sqd4),None,11,127,BA,1,0.4,"2""f",2,2,0,0,0,2,"AM,CAR4,MEC,SRCH",https://i.ibb.co/r2Q97gT/smoothdavid-trva.png,7201
Smoothdavid PA(L) III (Sqd5),Smoothdavid PA(L),III (Sqd5),None,11,171,BA,1,0.4,"2""f",2,2,0,0,0,2,"AM,CAR5,MEC,SRCH",https://i.ibb.co/r2Q97gT/smoothdavid-trva.png,8803
Smoothdavid PA(L) III (Sqd6),Smoothdavid PA(L),III (Sqd6),None,11,219,BA,1,0.4,"2""f",2,2,0,0,0,2,"AM,CAR6,MEC,SRCH",https://i.ibb.co/r2Q97gT/smoothdavid-trva.png,9166
Smoothgoliath PA(L) II (Sqd4),Smoothgoliath PA(L),II (Sqd4),None,6,37,BA,1,0.4,"6""f",0,0,0,0,0,2,"AM,CAR4,MEC,SRCH",https://i.ibb.co/r2Q97gT/smoothdavid-trva.png,5091
Smoothgoliath PA(L) II (Sqd5),Smoothgoliath PA(L),II (Sqd5),None,6,50,BA,1,0.4,"6""f",0,0,0,0,0,2,"AM,CAR5,MEC,SRCH",https://i.ibb.co/r2Q97gT/smoothdavid-trva.png,8676
