name,internal_name,display_name,lookup_names,short_range,medium_range,long_range,extreme_range,minimum_range,rack_size,damage,cluster_damage,cluster_size,heat,tonnage,criticals,ammo_type,weapon_class,parent_class,file_path,tech_base,bv,cost,is_lbx
,ArtilleryBayWeaponDirectHomingHandler,,['ArtilleryBayWeaponDirectHomingHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,ArtilleryBayWeaponIndirectFireHandler,ArtilleryBayWeaponIndirectHomingHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\ArtilleryBayWeaponDirectHomingHandler.java,IS,0,0,False
,ArtilleryBayWeaponIndirectFireHandler,,['ArtilleryBayWeaponIndirectFireHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,BayWeaponHandler,AmmoBayWeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\ArtilleryBayWeaponIndirectFireHandler.java,IS,0,0,False
,ArtilleryBayWeaponIndirectHomingHandler,,['ArtilleryBayWeaponIndirectHomingHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,AmmoBayWeaponHandler,ArtilleryBayWeaponIndirectFireHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\ArtilleryBayWeaponIndirectHomingHandler.java,IS,0,0,False
,ArtilleryCannonWeaponHandler,,['ArtilleryCannonWeaponHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,WeaponHandler,AmmoWeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\ArtilleryCannonWeaponHandler.java,IS,0,0,False
,ArtilleryWeaponDirectFireHandler,,['ArtilleryWeaponDirectFireHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,AmmoWeaponHandler,ArtilleryWeaponIndirectFireHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\ArtilleryWeaponDirectFireHandler.java,IS,0,0,False
,ArtilleryWeaponDirectHomingHandler,,['ArtilleryWeaponDirectHomingHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,ArtilleryWeaponIndirectFireHandler,ArtilleryWeaponIndirectHomingHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\ArtilleryWeaponDirectHomingHandler.java,IS,0,0,False
,ArtilleryWeaponIndirectFireHandler,,['ArtilleryWeaponIndirectFireHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,WeaponHandler,AmmoWeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\ArtilleryWeaponIndirectFireHandler.java,IS,0,0,False
,ArtilleryWeaponIndirectHomingHandler,,['ArtilleryWeaponIndirectHomingHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,AmmoWeaponHandler,ArtilleryWeaponIndirectFireHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\ArtilleryWeaponIndirectHomingHandler.java,IS,0,0,False
,ASEWMissileWeaponHandler,,['ASEWMissileWeaponHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,MissileWeaponHandler,ThunderBoltWeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\ASEWMissileWeaponHandler.java,IS,0,0,False
,ATMHandler,,['ATMHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,AmmoWeaponHandler,MissileWeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\ATMHandler.java,IS,0,0,False
,,,[],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,,,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\AttackHandler.java,IS,0,0,False
,BarracudaHandler,,['BarracudaHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,WeaponHandler,AmmoWeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\BarracudaHandler.java,IS,0,0,False
,BarracudaTHandler,,['BarracudaTHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,CapitalMissileBayHandler,TeleMissileHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\BarracudaTHandler.java,IS,0,0,False
,BayWeaponHandler,,['BayWeaponHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,,WeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\BayWeaponHandler.java,IS,0,0,False
,BombastLaserWeaponHandler,,['BombastLaserWeaponHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,WeaponHandler,EnergyWeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\BombastLaserWeaponHandler.java,IS,0,0,False
,BombAttackHandler,,['BombAttackHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,,WeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\BombAttackHandler.java,IS,0,0,False
,BPodHandler,,['BPodHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,WeaponHandler,AmmoWeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\BPodHandler.java,IS,0,0,False
,CapitalMissileBayHandler,,['CapitalMissileBayHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,BayWeaponHandler,AmmoBayWeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\CapitalMissileBayHandler.java,IS,0,0,False
,CapitalMissileBearingsOnlyHandler,,['CapitalMissileBearingsOnlyHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,BayWeaponHandler,AmmoBayWeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\CapitalMissileBearingsOnlyHandler.java,IS,0,0,False
,CapitalMissileHandler,,['CapitalMissileHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,WeaponHandler,AmmoWeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\CapitalMissileHandler.java,IS,0,0,False
,CenturionWeaponSystemHandler,,['CenturionWeaponSystemHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,WeaponHandler,EnergyWeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\CenturionWeaponSystemHandler.java,IS,0,0,False
,ChemicalLaserHandler,,['ChemicalLaserHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,WeaponHandler,AmmoWeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\ChemicalLaserHandler.java,IS,0,0,False
,CLIATMHandler,,['CLIATMHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,MissileWeaponHandler,ATMHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\CLIATMHandler.java,IS,0,0,False
,WeaponType,,['WeaponType'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,AmmoType,AmmoWeapon,MissileWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\CLIATMWeapon.java,IS,0,0,False
,CLLBXPrototypeHandler,,['CLLBXPrototypeHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,AmmoWeaponHandler,LBXHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\CLLBXPrototypeHandler.java,IS,0,0,False
,,,[],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,,,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\DamageType.java,IS,0,0,False
Dive Bomb,DiveBombAttack,,"['Dive Bomb', 'DiveBombAttack']",0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,AmmoType,WeaponType,Weapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\DiveBombAttack.java,IS,0,0,False
,EnergyWeaponHandler,,['EnergyWeaponHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,,WeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\EnergyWeaponHandler.java,IS,0,0,False
,FireExtinguisherHandler,,['FireExtinguisherHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,,WeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\FireExtinguisherHandler.java,IS,0,0,False
,FlamerHandler,,['FlamerHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,,WeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\FlamerHandler.java,IS,0,0,False
,,,[],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,,,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\FlamerHandlerHelper.java,IS,0,0,False
,FluidGunCoolHandler,,['FluidGunCoolHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,WeaponHandler,AmmoWeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\FluidGunCoolHandler.java,IS,0,0,False
,GRHandler,,['GRHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,WeaponHandler,AmmoWeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\GRHandler.java,IS,0,0,False
,HAGWeaponHandler,,['HAGWeaponHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,WeaponHandler,AmmoWeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\HAGWeaponHandler.java,IS,0,0,False
,HGRHandler,,['HGRHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,AmmoWeaponHandler,GRHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\HGRHandler.java,IS,0,0,False
,HVACWeaponHandler,,['HVACWeaponHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,AmmoWeaponHandler,ACWeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\HVACWeaponHandler.java,IS,0,0,False
,HyperLaserHandler,,['HyperLaserHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,WeaponHandler,EnergyWeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\HyperLaserHandler.java,IS,0,0,False
,WeaponType,,['WeaponType'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,AmmoType,WeaponType,Weapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\InfantryAttack.java,IS,0,0,False
,InsulatedLaserWeaponHandler,,['InsulatedLaserWeaponHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,WeaponHandler,EnergyWeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\InsulatedLaserWeaponHandler.java,IS,0,0,False
,KillerWhaleHandler,,['KillerWhaleHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,WeaponHandler,AmmoWeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\KillerWhaleHandler.java,IS,0,0,False
,KillerWhaleTHandler,,['KillerWhaleTHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,CapitalMissileBayHandler,TeleMissileHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\KillerWhaleTHandler.java,IS,0,0,False
,KrakenTHandler,,['KrakenTHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,CapitalMissileBayHandler,TeleMissileHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\KrakenTHandler.java,IS,0,0,False
,LBXHandler,,['LBXHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,WeaponHandler,AmmoWeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\LBXHandler.java,IS,0,0,False
Leg Attack,LegAttack,,"['Leg Attack', 'LegAttack']",0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,AmmoType,Weapon,InfantryAttack,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\LegAttack.java,IS,0,0,False
,LegAttackHandler,,['LegAttackHandler'],0,0,0,0,0,0,4.0,0.0,0,0,0.0,0,,,WeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\LegAttackHandler.java,IS,0,0,False
,LRMAntiTSMHandler,,['LRMAntiTSMHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,LRMHandler,LRMSmokeWarheadHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\LRMAntiTSMHandler.java,IS,0,0,False
,LRMDeadFireHandler,,['LRMDeadFireHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,MissileWeaponHandler,LRMHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\LRMDeadFireHandler.java,IS,0,0,False
,LRMFollowTheLeaderHandler,,['LRMFollowTheLeaderHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,MissileWeaponHandler,LRMHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\LRMFollowTheLeaderHandler.java,IS,0,0,False
,LRMFragHandler,,['LRMFragHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,MissileWeaponHandler,LRMHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\LRMFragHandler.java,IS,0,0,False
,LRMHandler,,['LRMHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,AmmoWeaponHandler,MissileWeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\LRMHandler.java,IS,0,0,False
,LRMScatterableHandler,,['LRMScatterableHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,AmmoWeaponHandler,MissileWeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\LRMScatterableHandler.java,IS,0,0,False
,LRMSmokeWarheadHandler,,['LRMSmokeWarheadHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,MissileWeaponHandler,LRMHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\LRMSmokeWarheadHandler.java,IS,0,0,False
,LRMSwarmHandler,,['LRMSwarmHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,MissileWeaponHandler,LRMHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\LRMSwarmHandler.java,IS,0,0,False
,LRMSwarmIHandler,,['LRMSwarmIHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,LRMHandler,LRMSwarmHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\LRMSwarmIHandler.java,IS,0,0,False
,MantaRayHandler,,['MantaRayHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,WeaponHandler,AmmoWeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\MantaRayHandler.java,IS,0,0,False
,MekMortarAirburstHandler,,['MekMortarAirburstHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,WeaponHandler,AmmoWeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\MekMortarAirburstHandler.java,IS,0,0,False
,MekMortarAntiPersonnelHandler,,['MekMortarAntiPersonnelHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,WeaponHandler,AmmoWeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\MekMortarAntiPersonnelHandler.java,IS,0,0,False
,MekMortarFlareHandler,,['MekMortarFlareHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,WeaponHandler,AmmoWeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\MekMortarFlareHandler.java,IS,0,0,False
,MekMortarHandler,,['MekMortarHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,WeaponHandler,AmmoWeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\MekMortarHandler.java,IS,0,0,False
,MekMortarSmokeHandler,,['MekMortarSmokeHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,WeaponHandler,AmmoWeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\MekMortarSmokeHandler.java,IS,0,0,False
,MekTaserHandler,,['MekTaserHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,WeaponHandler,AmmoWeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\MekTaserHandler.java,IS,0,0,False
,MGAWeaponHandler,,['MGAWeaponHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,AmmoWeaponHandler,MGHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\MGAWeaponHandler.java,IS,0,0,False
,MGHandler,,['MGHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,WeaponHandler,AmmoWeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\MGHandler.java,IS,0,0,False
,MicroBombHandler,,['MicroBombHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,WeaponHandler,AmmoWeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\MicroBombHandler.java,IS,0,0,False
,MissileBayWeaponHandler,,['MissileBayWeaponHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,BayWeaponHandler,AmmoBayWeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\MissileBayWeaponHandler.java,IS,0,0,False
,MissileMineClearanceHandler,,['MissileMineClearanceHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,WeaponHandler,AmmoWeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\MissileMineClearanceHandler.java,IS,0,0,False
,MissileWeaponHandler,,['MissileWeaponHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,WeaponHandler,AmmoWeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\MissileWeaponHandler.java,IS,0,0,False
,MPodHandler,,['MPodHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,AmmoWeaponHandler,LBXHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\MPodHandler.java,IS,0,0,False
,MRMHandler,,['MRMHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,AmmoWeaponHandler,MissileWeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\MRMHandler.java,IS,0,0,False
,NailRivetGunHandler,,['NailRivetGunHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,WeaponHandler,AmmoWeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\NailRivetGunHandler.java,IS,0,0,False
,NarcExplosiveHandler,,['NarcExplosiveHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,AmmoWeaponHandler,MissileWeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\NarcExplosiveHandler.java,IS,0,0,False
