UnitType,Name,FullName,Common,Class,Model,Role,PV,BV,Type,Size,Tonnage,ASMove,Short,Medium,Long,Overheat,CBTMove,Armor,ArmorIcons,Structure,StructureIcons,TMM,RegSkill,VetSkill,RegPV,VetPV,Specials,CAR,BA,PMECH,TUR,AMS,ECM2,ECM6,PRB,IF,APC,ART,STL,MHQ,,,,,,,,,,SpecialRules,ImageURL,MULId,Weapons,WepName1,Shots1,Dam1,Range1,WepName2,Shots2,Dam2,Range2,WepName3,Shots3,Dam3,Range3,WepName4,Shots4,Dam4,Range4,WepName5,Shots5,Dam5,Range5,WepName6,Shots6,Dam6,Range6,WepName7,Shots7,Dam7,Range7,CombDam1,CombDam2,CombDam3,CombDam4,CombDam5,CombDam6,CombDam7,,Star League (2571 - 2780),Early Succession War (2781 - 2900),Late Succession War - LosTech (2901 - 3019),Late Succession War - Renaissance (3020 - 3049),Clan Invasion (3050 - 3061),Civil War (3062 - 3067),Jihad (3068 - 3085),Early Republic (3086 - 3100),Late Republic (3101 - 3130),Dark Ages (3131 - 3150),ilClan (3151 - 9999)
BattleArmor,Grenadier Battle Armor,Grenadier Battle Armor [TAG],,Grenadier Battle Armor,[TAG],,10,,BattleArmor,,,,,,,,2F,1,A,2,SS,0,6,5,10,12,CAR4 LTAG STL,CAR4,"MECH, NIMB, SPOT, SWRM",,,,,,,,,,STL,,,,,,,,,,,"CAR4, MECH, NIMB, SPOT, SWRM, STL",,,,SRM 4,12,2,3/6/9,,,,,,,,,,,,,,,,,,,,,,,,,12x2,,,,,,,,,,,,,,,,,,
BattleArmor,IS Standard Battle Armor,IS Standard Battle Armor (Baka) [LRR],,IS Standard Battle Armor,(Baka) [LRR],,10,,BattleArmor,,,,,,,,3J,1,A,2,SS,+1,6,5,10,12,CAR4,CAR4,"MECH, NIMB, SPOT, SWRM",,,,,,,,,,,,,,,,,,,,,"CAR4, MECH, NIMB, SPOT, SWRM",,,,BA Recoilless Rifle (Light),4,2,2/4/6,SRM 2 (OS),16,2,3/6/9,,,,,,,,,,,,,,,,,,,,,4x2,16x2,,,,,,,,,,,,,,,,,
BattleArmor,IS Standard Battle Armor,IS Standard Battle Armor (Baka) [SL],,IS Standard Battle Armor,(Baka) [SL],,10,,BattleArmor,,,,,,,,3J,1,A,2,SS,+1,6,5,10,12,CAR4,CAR4,"MECH, NIMB, SPOT, SWRM",,,,,,,,,,,,,,,,,,,,,"CAR4, MECH, NIMB, SPOT, SWRM",,,,SRM 2 (OS),16,2,3/6/9,Small Laser,4,3,1/2/3,,,,,,,,,,,,,,,,,,,,,16x2,4x3,,,,,,,,,,,,,,,,,
BattleArmor,IS Standard Battle Armor,IS Standard Battle Armor [Flamer],,IS Standard Battle Armor,[Flamer],,10,,BattleArmor,,,,,,,,3J,1,A,2,SS,+1,6,5,10,12,AM HT1/-/- CAR4 MEC,CAR4,"MECH, NIMB, SPOT, SWRM",,,,,,,,,,,,,,,,,,,,,"CAR4, MECH, NIMB, SPOT, SWRM",,,,Flamer [BA],4,2,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,4x2,,,,,,,,,,,,,,,,,,
BattleArmor,IS Standard Battle Armor,IS Standard Battle Armor [Laser],,IS Standard Battle Armor,[Laser],,10,,BattleArmor,,,,,,,,3J,1,A,2,SS,+1,6,5,10,12,AM CAR4 MEC,CAR4,"MECH, NIMB, SPOT, SWRM",,,,,,,,,,,,,,,,,,,,,"CAR4, MECH, NIMB, SPOT, SWRM",,,,Small Laser,4,3,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,4x3,,,,,,,,,,,,,,,,,,
BattleArmor,Krise PA(L),Krise PA(L),,Krise PA(L),,,10,,BattleArmor,,,,,,,,3J,0,,2,SS,+1,6,5,10,12,CAR4 MEC RCN SRCH,CAR4,"MECH, NIMB, SPOT, SWRM",,,,,,,,,,,,,,,,,,,,,"CAR4, MECH, NIMB, SPOT, SWRM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BattleArmor,Longinus Battle Armor,Longinus Battle Armor (Magnetic),,Longinus Battle Armor,(Magnetic),,10,,BattleArmor,,,,,,,,3J,1,A,2,SS,+1,6,5,10,12,AM CAR4 XMEC,CAR4,"MECH, NIMB, SPOT, SWRM",,,,,,,,,,,,,,,,,,,,,"CAR4, MECH, NIMB, SPOT, SWRM",,,,Machine Gun (Heavy),4,3,1/2/2,Machine Gun (Medium),4,2,1/2/3,,,,,,,,,,,,,,,,,,,,,4x3,4x2,,,,,,,,,,,,,,,,,
BattleArmor,Ogre Battle Armor,Ogre Battle Armor,,Ogre Battle Armor,,,10,,BattleArmor,,,,,,,,2F,2,AA,2,SS,0,6,5,10,12,CAR4 MEC,CAR4,"MECH, NIMB, SPOT, SWRM",,,,,,,,,,,,,,,,,,,,,"CAR4, MECH, NIMB, SPOT, SWRM",,,,SRM 2,8,2,3/6/9,,,,,,,,,,,,,,,,,,,,,,,,,8x2,,,,,,,,,,,,,,,,,,
BattleArmor,Quirinus Battle Armor,Quirinus Battle Armor [GL],,Quirinus Battle Armor,[GL],,10,,BattleArmor,,,,,,,,3J,1,A,2,SS,+1,6,5,10,12,AM CAR4 LTAG MEC RCA,CAR4,"MECH, NIMB, SPOT, SWRM",,,,,,,,,,,,,,,,,,,,,"CAR4, MECH, NIMB, SPOT, SWRM",,,,Grenade Launcher (Heavy),4,1,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,4x1,,,,,,,,,,,,,,,,,,
BattleArmor,Quirinus Battle Armor,Quirinus Battle Armor [MG],,Quirinus Battle Armor,[MG],,10,,BattleArmor,,,,,,,,3J,1,A,2,SS,+1,6,5,10,12,AM CAR4 LTAG MEC RCA,CAR4,"MECH, NIMB, SPOT, SWRM",,,,,,,,,,,,,,,,,,,,,"CAR4, MECH, NIMB, SPOT, SWRM",,,,Machine Gun (Medium),4,2,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,4x2,,,,,,,,,,,,,,,,,,
BattleArmor,Raiden Battle Armor,Raiden Battle Armor [Flamer],,Raiden Battle Armor,[Flamer],,10,,BattleArmor,,,,,,,,3J,1,A,2,SS,+1,6,5,10,12,AM CAR4 HT1/-/- MEC,CAR4,"MECH, NIMB, SPOT, SWRM",,,,,,,,,,,,,,,,,,,,,"CAR4, MECH, NIMB, SPOT, SWRM",,,,Flamer [BA],4,2,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,4x2,,,,,,,,,,,,,,,,,,
BattleArmor,Raiden Battle Armor,Raiden Battle Armor [Laser],,Raiden Battle Armor,[Laser],,10,,BattleArmor,,,,,,,,3J,1,A,2,SS,+1,6,5,10,12,AM CAR4 MEC,CAR4,"MECH, NIMB, SPOT, SWRM",,,,,,,,,,,,,,,,,,,,,"CAR4, MECH, NIMB, SPOT, SWRM",,,,Small Laser,4,3,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,4x3,,,,,,,,,,,,,,,,,,
BattleArmor,Raiden Battle Armor,Raiden Battle Armor [MG],,Raiden Battle Armor,[MG],,10,,BattleArmor,,,,,,,,3J,1,A,2,SS,+1,6,5,10,12,AM CAR4 MEC,CAR4,"MECH, NIMB, SPOT, SWRM",,,,,,,,,,,,,,,,,,,,,"CAR4, MECH, NIMB, SPOT, SWRM",,,,Machine Gun (Medium),4,2,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,4x2,,,,,,,,,,,,,,,,,,
BattleArmor,Raiden II Battle Armor,Raiden II Battle Armor [Flamer],,Raiden II Battle Armor,[Flamer],,10,,BattleArmor,,,,,,,,3J,1,A,2,SS,+1,6,5,10,12,AM CAR4 HT1/-/- MEC RFA,CAR4,"MECH, NIMB, SPOT, SWRM",,,,,,,,,,,,,,,,,,,,,"CAR4, MECH, NIMB, SPOT, SWRM",,,,Flamer [BA],4,2,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,4x2,,,,,,,,,,,,,,,,,,
BattleArmor,Raiden II Battle Armor,Raiden II Battle Armor [HMG],,Raiden II Battle Armor,[HMG],,10,,BattleArmor,,,,,,,,3J,1,A,2,SS,+1,6,5,10,12,AM CAR4 MEC RFA,CAR4,"MECH, NIMB, SPOT, SWRM",,,,,,,,,,,,,,,,,,,,,"CAR4, MECH, NIMB, SPOT, SWRM",,,,Machine Gun (Heavy),4,3,1/2/2,,,,,,,,,,,,,,,,,,,,,,,,,4x3,,,,,,,,,,,,,,,,,,
BattleArmor,Simian Battle Armor,Simian Battle Armor [Flamer],,Simian Battle Armor,[Flamer],,10,,BattleArmor,,,,,,,,3J,1,A,2,SS,+1,6,5,10,12,AM CAR4 HT1/-/- MEC SRCH,CAR4,"MECH, NIMB, SPOT, SWRM",,,,,,,,,,,,,,,,,,,,,"CAR4, MECH, NIMB, SPOT, SWRM",,,,Flamer [BA],4,2,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,4x2,,,,,,,,,,,,,,,,,,
BattleArmor,Simian Battle Armor,Simian Battle Armor [Heavy MG],,Simian Battle Armor,[Heavy MG],,10,,BattleArmor,,,,,,,,3J,1,A,2,SS,+1,6,5,10,12,AM CAR4 MEC SRCH,CAR4,"MECH, NIMB, SPOT, SWRM",,,,,,,,,,,,,,,,,,,,,"CAR4, MECH, NIMB, SPOT, SWRM",,,,Machine Gun (Heavy),4,3,1/2/2,,,,,,,,,,,,,,,,,,,,,,,,,4x3,,,,,,,,,,,,,,,,,,
BattleArmor,Simian Battle Armor,Simian Battle Armor [SL],,Simian Battle Armor,[SL],,10,,BattleArmor,,,,,,,,3J,1,A,2,SS,+1,6,5,10,12,AM CAR4 MEC SRCH,CAR4,"MECH, NIMB, SPOT, SWRM",,,,,,,,,,,,,,,,,,,,,"CAR4, MECH, NIMB, SPOT, SWRM",,,,Small Laser,4,3,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,4x3,,,,,,,,,,,,,,,,,,
BattleArmor,Sloth Battle Armor,Sloth Battle Armor,,Sloth Battle Armor,,,10,,BattleArmor,,,,,,,,3F,1,A,2,SS,+1,6,5,10,12,CAR4 MDS2,CAR4,"MECH, NIMB, SPOT, SWRM",,,,,,,,,,,,,,,,,,,,,"CAR4, MECH, NIMB, SPOT, SWRM",,,,Small Laser,8,3,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,8x3,,,,,,,,,,,,,,,,,,
BattleArmor,Tengu Heavy Battle Armor,Tengu Heavy Battle Armor [Plasma],,Tengu Heavy Battle Armor,[Plasma],,10,,BattleArmor,,,,,,,,2J,2,AA,2,SS,0,6,5,10,12,CAR4 MEC,CAR4,"MECH, NIMB, SPOT, SWRM",,,,,,,,,,,,,,,,,,,,,"CAR4, MECH, NIMB, SPOT, SWRM",,,,Plasma Rifle (Man-Portable),4,2,2/4/6,,,,,,,,,,,,,,,,,,,,,,,,,4x2,,,,,,,,,,,,,,,,,,
BattleArmor,Xiphos Assault Battle Armor,Xiphos Assault Battle Armor B,,Xiphos Assault Battle Armor,B,,10,,BattleArmor,,,,,,,,2F,2,AA,2,SS,0,6,5,10,12,CAR4 RCA,CAR4,"MECH, NIMB, SPOT, SWRM",,,,,,,,,,,,,,,,,,,,,"CAR4, MECH, NIMB, SPOT, SWRM",,,,SRM 1 (OS),4,2,3/6/9,Plasma Rifle (Man-Portable),4,2,2/4/6,,,,,,,,,,,,,,,,,,,,,4x2,4x2,,,,,,,,,,,,,,,,,
BattleArmor,Zou Heavy Battle Armor,Zou Heavy Battle Armor,,Zou Heavy Battle Armor,,,10,,BattleArmor,,,,,,,,2F,1,A,2,SS,0,6,5,10,12,CAR4 MEC RFA,CAR4,"MECH, NIMB, SPOT, SWRM",,,,,,,,,,,,,,,,,,,,,"CAR4, MECH, NIMB, SPOT, SWRM",,,,Medium Laser,4,5,3/6/9,,,,,,,,,,,,,,,,,,,,,,,,,4x5,,,,,,,,,,,,,,,,,,
BattleArmor,Achileus Light Battle Armor,Achileus Light Battle Armor [Flamer],,Achileus Light Battle Armor,[Flamer],,11,,BattleArmor,,,,,,,,3J,1,A,2,SS,+1,6,5,11,13,AM CAR4 HT1/-/-MEC STL,CAR4,"MECH, NIMB, SPOT, SWRM",,,,,,,,,,STL,,,,,,,,,,,"CAR4, MECH, NIMB, SPOT, SWRM, STL",,,,Flamer [BA],4,2,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,4x2,,,,,,,,,,,,,,,,,,
BattleArmor,Achileus Light Battle Armor,Achileus Light Battle Armor [Laser],,Achileus Light Battle Armor,[Laser],,11,,BattleArmor,,,,,,,,3J,1,A,2,SS,+1,6,5,11,13,AM CAR4 MEC STL,CAR4,"MECH, NIMB, SPOT, SWRM",,,,,,,,,,STL,,,,,,,,,,,"CAR4, MECH, NIMB, SPOT, SWRM, STL",,,,Small Laser,4,3,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,4x3,,,,,,,,,,,,,,,,,,
BattleArmor,Achileus Light Battle Armor,Achileus Light Battle Armor [MG],,Achileus Light Battle Armor,[MG],,11,,BattleArmor,,,,,,,,3J,1,A,2,SS,+1,6,5,11,13,AM CAR4 MEC STL,CAR4,"MECH, NIMB, SPOT, SWRM",,,,,,,,,,STL,,,,,,,,,,,"CAR4, MECH, NIMB, SPOT, SWRM, STL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BattleArmor,Achileus Light Battle Armor,Achileus Light Battle Armor [TAG],,Achileus Light Battle Armor,[TAG],,11,,BattleArmor,,,,,,,,3J,1,A,2,SS,+1,6,5,11,13,AM CAR4 LTAG MEC STL,CAR4,"MECH, NIMB, SPOT, SWRM",,,,,,,,,,STL,,,,,,,,,,,"CAR4, MECH, NIMB, SPOT, SWRM, STL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BattleArmor,Cavalier II Battle Armor,Cavalier II Battle Armor [SRM],,Cavalier II Battle Armor,[SRM],,11,,BattleArmor,,,,,,,,4J,1,A,2,SS,+1,6,5,11,13,CAR4,CAR4,"MECH, NIMB, SPOT, SWRM",,,,,,,,,,,,,,,,,,,,,"CAR4, MECH, NIMB, SPOT, SWRM",,,,SRM 1,4,2,3/6/9,,,,,,,,,,,,,,,,,,,,,,,,,4x2,,,,,,,,,,,,,,,,,,
BattleArmor,Fa Shih Battle Armor,Fa Shih Battle Armor [MG],,Fa Shih Battle Armor,[MG],,11,,BattleArmor,,,,,,,,3J,1,A,2,SS,+1,6,5,11,13,AM CAR4 MDS2 MSW XMEC,CAR4,"MECH, NIMB, SPOT, SWRM",,,,,,,,,,,,,,,,,,,,,"CAR4, MECH, NIMB, SPOT, SWRM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BattleArmor,Fa Shih Battle Armor,Fa Shih Battle Armor [TAG],,Fa Shih Battle Armor,[TAG],,11,,BattleArmor,,,,,,,,3J,1,A,2,SS,+1,6,5,11,13,AM CAR4 LTAG MDS2 MSW XMEC,CAR4,"MECH, NIMB, SPOT, SWRM",,,,,,,,,,,,,,,,,,,,,"CAR4, MECH, NIMB, SPOT, SWRM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BattleArmor,Fa Shih Battle Armor,Fa Shih Battle Armor 2 [MG],,Fa Shih Battle Armor,2 [MG],,11,,BattleArmor,,,,,,,,3J,1,A,2,SS,+1,6,5,11,13,AM CAR4 MDS2 MSW XMEC,CAR4,"MECH, NIMB, SPOT, SWRM",,,,,,,,,,,,,,,,,,,,,"CAR4, MECH, NIMB, SPOT, SWRM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BattleArmor,Fenrir II Assault Battle Armor,Fenrir II Assault Battle Armor (AI),,Fenrir II Assault Battle Armor,(AI),,11,,BattleArmor,,,,,,,,3F,2,AA,2,SS,+1,6,5,11,13,CAR4,CAR4,"MECH, NIMB, SPOT, SWRM",,,,,,,,,,,,,,,,,,,,,"CAR4, MECH, NIMB, SPOT, SWRM",,,,Machine Gun (Bearhunter AC),8,3,1/2/3,Machine Gun (Medium),8,2,1/2/3,,,,,,,,,,,,,,,,,,,,,8x3,8x2,,,,,,,,,,,,,,,,,
BattleArmor,Grenadier Battle Armor,Grenadier Battle Armor (Hunter-Killer) [NARC],,Grenadier Battle Armor,(Hunter-Killer) [NARC],,11,,BattleArmor,,,,,,,,2F,1,A,2,SS,0,6,5,11,13,CAR4 CNARC STL,CAR4,"MECH, NIMB, SPOT, SWRM",,,,,,,,,,STL,,,,,,,,,,,"CAR4, MECH, NIMB, SPOT, SWRM, STL",,,,Needler (Firedrake),4,1,1/2/3,SRM 5,16,2,3/6/9,,,,,,,,,,,,,,,,,,,,,4x1,16x2,,,,,,,,,,,,,,,,,
BattleArmor,Grenadier Battle Armor,Grenadier Battle Armor [SRM/SL],,Grenadier Battle Armor,[SRM/SL],,11,,BattleArmor,,,,,,,,2F,1,A,2,SS,0,6,5,11,13,CAR4 STL,CAR4,"MECH, NIMB, SPOT, SWRM",,,,,,,,,,STL,,,,,,,,,,,"CAR4, MECH, NIMB, SPOT, SWRM, STL",,,,Small Laser,4,3,1/2/3,SRM 4,12,2,3/6/9,,,,,,,,,,,,,,,,,,,,,4x3,12x2,,,,,,,,,,,,,,,,,
BattleArmor,Hauberk II Battle Armor,Hauberk II Battle Armor,,Hauberk II Battle Armor,,,11,,BattleArmor,,,,,,,,1F,1,A,2,SS,0,6,5,11,13,CAR4 STL,CAR4,"MECH, NIMB, SPOT, SWRM",,,,,,,,,,STL,,,,,,,,,,,"CAR4, MECH, NIMB, SPOT, SWRM, STL",,,,Small Pulse Laser,4,3,1/2/3,Gauss Rifle [Magshot],8,2,3/6/9,,,,,,,,,,,,,,,,,,,,,4x3,8x2,,,,,,,,,,,,,,,,,
BattleArmor,Infiltrator Mk. II Battle Armor,Infiltrator Mk. II Battle Armor (Marine),,Infiltrator Mk. II Battle Armor,(Marine),,11,,BattleArmor,,,,,,,,3J,1,A,2,SS,+1,6,5,11,13,AM CAR4 SOA STL XMEC,CAR4,"MECH, NIMB, SPOT, SWRM",,,,,,,,,,STL,,,,,,,,,,,"CAR4, MECH, NIMB, SPOT, SWRM, STL",,,,Micro Pulse Laser,4,3,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,4x3,,,,,,,,,,,,,,,,,,
BattleArmor,Kage Light Battle Armor,Kage Light Battle Armor (Space),,Kage Light Battle Armor,(Space),,11,,BattleArmor,,,,,,,,4J,1,A,2,SS,+1,6,5,11,13,AM CAR4 MEC SOA STL,CAR4,"MECH, NIMB, SPOT, SWRM",,,,,,,,,,STL,,,,,,,,,,,"CAR4, MECH, NIMB, SPOT, SWRM, STL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BattleArmor,Kage Light Battle Armor,Kage Light Battle Armor (Vibro-Claw),,Kage Light Battle Armor,(Vibro-Claw),,11,,BattleArmor,,,,,,,,4J,1,A,2,SS,+1,6,5,11,13,AM CAR4 MEC STL,CAR4,"MECH, NIMB, SPOT, SWRM",,,,,,,,,,STL,,,,,,,,,,,"CAR4, MECH, NIMB, SPOT, SWRM, STL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BattleArmor,Kage Light Battle Armor,Kage Light Battle Armor [ECM],,Kage Light Battle Armor,[ECM],,11,,BattleArmor,,,,,,,,4J,1,A,2,SS,+1,6,5,11,13,AM CAR4 LECM MEC STL,CAR4,"MECH, NIMB, SPOT, SWRM",,,,ECM2,,,,,,STL,,,,,,,,,,,"CAR4, MECH, NIMB, SPOT, SWRM, ECM2, STL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BattleArmor,Kage Light Battle Armor,Kage Light Battle Armor [Flamer],,Kage Light Battle Armor,[Flamer],,11,,BattleArmor,,,,,,,,4J,1,A,2,SS,+1,6,5,11,13,AM CAR4 MEC STL,CAR4,"MECH, NIMB, SPOT, SWRM",,,,,,,,,,STL,,,,,,,,,,,"CAR4, MECH, NIMB, SPOT, SWRM, STL",,,,Flamer [BA],4,2,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,4x2,,,,,,,,,,,,,,,,,,
BattleArmor,Kage Light Battle Armor,Kage Light Battle Armor [Laser],,Kage Light Battle Armor,[Laser],,11,,BattleArmor,,,,,,,,4J,1,A,2,SS,+1,6,5,11,13,AM CAR4 MEC STL,CAR4,"MECH, NIMB, SPOT, SWRM",,,,,,,,,,STL,,,,,,,,,,,"CAR4, MECH, NIMB, SPOT, SWRM, STL",,,,Small Laser,4,3,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,4x3,,,,,,,,,,,,,,,,,,
BattleArmor,Kage Light Battle Armor,Kage Light Battle Armor [MG],,Kage Light Battle Armor,[MG],,11,,BattleArmor,,,,,,,,4J,1,A,2,SS,+1,6,5,11,13,AM CAR4 MEC STL,CAR4,"MECH, NIMB, SPOT, SWRM",,,,,,,,,,STL,,,,,,,,,,,"CAR4, MECH, NIMB, SPOT, SWRM, STL",,,,Machine Gun (Medium),4,2,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,4x2,,,,,,,,,,,,,,,,,,
