name,internal_name,display_name,short_range,medium_range,long_range,extreme_range,minimum_range,rack_size,damage,heat,tonnage,criticals,ammo_type,weapon_class,parent_class,file_path,tech_base,bv,cost
LRM 13,CLLRM13,,7,14,21,28,0,13,13.0,0,2.6,0,T_LRM,,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRM13.java,CLAN,161,0
LRM 14,CLLRM14,,7,14,21,28,0,14,14.0,0,2.8,0,T_LRM,,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRM14.java,CLAN,163,0
LRM 15,CLLRM15,Clan LRM-15,7,14,21,28,0,15,15.0,5,3.5,2,T_LRM,,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRM15.java,CLAN,164,175000
LRM 15 (I-OS),CLLRM15 (IOS),Clan IOS LRM-15,7,14,21,28,0,15,15.0,5,3.0,2,T_LRM,,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRM15IOS.java,CLAN,33,140000
LRM 15 (OS),CLLRM15 (OS),Clan OS LRM-15,7,14,21,28,0,15,15.0,5,4.0,2,T_LRM,,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRM15OS.java,CLAN,33,87500
LRM 16,CLLRM16,,7,14,21,28,0,16,16.0,0,3.2,0,T_LRM,,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRM16.java,CLAN,214,0
LRM 17,CLLRM17,,7,14,21,28,0,17,17.0,0,3.4,0,T_LRM,,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRM17.java,CLAN,215,0
LRM 18,CLLRM18,,7,14,21,28,0,18,18.0,0,3.6,0,T_LRM,,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRM18.java,CLAN,217,0
LRM 19,CLLRM19,,7,14,21,28,0,19,19.0,0,3.8,0,T_LRM,,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRM19.java,CLAN,218,0
LRM 1,CLLRM1OS,,7,14,21,28,0,1,1.0,0,0.4,0,T_LRM,,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRM1OS.java,CLAN,3,0
LRM 2,CLLRM2,,7,14,21,28,0,2,2.0,0,0.4,0,T_LRM,,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRM2.java,CLAN,24,0
LRM 20,CLLRM20,Clan LRM-20,7,14,21,28,0,20,20.0,6,5.0,4,T_LRM,,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRM20.java,CLAN,220,250000
LRM 20 (I-OS),CLLRM20 (IOS),Clan IOS LRM-20,7,14,21,28,0,20,20.0,6,4.5,4,T_LRM,,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRM20IOS.java,CLAN,44,200000
LRM 20 (OS),CLLRM20 (OS),Clan OS LRM-20,7,14,21,28,0,20,20.0,6,5.5,4,T_LRM,,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRM20OS.java,CLAN,44,125000
LRM 2 (OS),CLLRM2OS,,7,14,21,28,0,2,2.0,0,0.4,0,T_LRM,,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRM2OS.java,CLAN,5,0
LRM 3,CLLRM3,,7,14,21,28,0,3,3.0,0,0.6,0,T_LRM,,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRM3.java,CLAN,35,0
LRM 3 (OS),CLLRM3OS,,7,14,21,28,0,3,3.0,0,0.6,0,T_LRM,,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRM3OS.java,CLAN,7,0
LRM 4,CLLRM4,,7,14,21,28,0,4,4.0,0,0.8,0,T_LRM,,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRM4.java,CLAN,46,0
LRM 4 (OS),CLLRM4OS,,7,14,21,28,0,4,4.0,0,0.8,0,T_LRM,,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRM4OS.java,CLAN,9,0
LRM 5,CLLRM5,Clan LRM-5,7,14,21,28,0,5,5.0,2,1.0,1,T_LRM,,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRM5.java,CLAN,55,30000
LRM 5 (I-OS),CLLRM5 (IOS),CLLRM5IOS,7,14,21,28,0,5,5.0,2,0.5,1,T_LRM,,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRM5IOS.java,CLAN,11,24000
LRM 5 (OS),CLLRM5 (OS),CLLRM5OS,7,14,21,28,0,5,5.0,2,1.5,1,T_LRM,,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRM5OS.java,CLAN,11,15000
LRM 6,CLLRM6,,7,14,21,28,0,6,6.0,0,1.2,0,T_LRM,,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRM6.java,CLAN,69,0
LRM 7,CLLRM7,,7,14,21,28,0,7,7.0,0,1.4,0,T_LRM,,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRM7.java,CLAN,82,0
LRM 8,CLLRM8,,7,14,21,28,0,8,8.0,0,1.6,0,T_LRM,,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRM8.java,CLAN,93,0
LRM 9,CLLRM9,,7,14,21,28,0,9,9.0,0,1.8,0,T_LRM,,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRM9.java,CLAN,95,0
LRT 1,CLLRTorpedo1,,0,0,0,0,0,1,1.0,0,0.2,0,T_LRM_TORPEDO,,LRTWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRT1.java,CLAN,17,0
LRT 10,CLLRTorpedo10,Clan LRT-10,0,0,0,0,0,10,10.0,4,2.5,1,T_LRM_TORPEDO,,LRTWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRT10.java,CLAN,109,100000
LRT 10 (I-OS),CLLRTorpedo10 (IOS),Clan IOS LRT-10,0,0,0,0,0,10,10.0,4,2.0,1,T_LRM_TORPEDO,,LRTWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRT10IOS.java,CLAN,22,80000
LRT 10 (OS),CLLRTorpedo10 (OS),Clan OS LRT-10,0,0,0,0,0,10,10.0,4,3.0,1,T_LRM_TORPEDO,,LRTWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRT10OS.java,CLAN,22,50000
LRT 11,CLLRTorpedo11,,0,0,0,0,0,11,11.0,0,2.2,0,T_LRM_TORPEDO,,LRTWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRT11.java,CLAN,139,0
LRT 12,CLLRTorpedo12,,0,0,0,0,0,12,12.0,0,2.4,0,T_LRM_TORPEDO,,LRTWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRT12.java,CLAN,141,0
LRT 13,CLLRTorpedo13,,0,0,0,0,0,13,13.0,0,2.6,0,T_LRM_TORPEDO,,LRTWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRT13.java,CLAN,161,0
LRT 14,CLLRTorpedo14,,0,0,0,0,0,14,14.0,0,2.8,0,T_LRM_TORPEDO,,LRTWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRT14.java,CLAN,163,0
LRT 15,CLLRTorpedo15,Clan LRT-15,0,0,0,0,0,15,15.0,5,3.5,2,T_LRM_TORPEDO,,LRTWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRT15.java,CLAN,164,175000
LRT 15 (I-OS),CLLRTorpedo15 (IOS),Clan IOS LRT-15,0,0,0,0,0,15,15.0,5,3.0,2,T_LRM_TORPEDO,,LRTWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRT15IOS.java,CLAN,33,140000
LRT 15 (OS),CLLRTorpedo15 (OS),Clan OS LRT-15,0,0,0,0,0,15,15.0,5,4.0,2,T_LRM_TORPEDO,,LRTWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRT15OS.java,CLAN,33,87500
LRT 16,CLLRTorpedo16,,0,0,0,0,0,16,16.0,0,3.2,0,T_LRM_TORPEDO,,LRTWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRT16.java,CLAN,214,0
LRT 17,CLLRTorpedo17,,0,0,0,0,0,17,17.0,0,3.4,0,T_LRM_TORPEDO,,LRTWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRT17.java,CLAN,215,0
LRT 18,CLLRTorpedo18,,0,0,0,0,0,18,18.0,0,3.6,0,T_LRM_TORPEDO,,LRTWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRT18.java,CLAN,217,0
LRT 19,CLLRTorpedo19,,0,0,0,0,0,19,19.0,0,3.8,0,T_LRM_TORPEDO,,LRTWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRT19.java,CLAN,218,0
LRT 2,CLLRTorpedo2,,0,0,0,0,0,2,2.0,0,0.4,0,T_LRM_TORPEDO,,LRTWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRT2.java,CLAN,24,0
LRT 20,CLLRTorpedo20,Clan LRT-20,0,0,0,0,0,20,20.0,6,5.0,4,T_LRM_TORPEDO,,LRTWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRT20.java,CLAN,220,250000
LRT 20 (I-OS),CLLRTorpedo20 (IOS),Clan IOS LRT-20,0,0,0,0,0,20,20.0,6,4.5,4,T_LRM_TORPEDO,,LRTWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRT20IOS.java,CLAN,44,200000
LRT 20 (OS),CLLRTorpedo20 (OS),Clan OS LRT-20,0,0,0,0,0,20,20.0,6,5.5,4,T_LRM_TORPEDO,,LRTWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRT20OS.java,CLAN,44,125000
LRT 3,CLLRTorpedo3,,0,0,0,0,0,3,3.0,0,0.6,0,T_LRM_TORPEDO,,LRTWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRT3.java,CLAN,35,0
LRT 4,CLLRTorpedo4,,0,0,0,0,0,4,4.0,0,0.8,0,T_LRM_TORPEDO,,LRTWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRT4.java,CLAN,46,0
LRT 5,CLLRTorpedo5,Clan LRT-5,0,0,0,0,0,5,5.0,2,1.0,1,T_LRM_TORPEDO,,LRTWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRT5.java,CLAN,55,30000
LRT 5 (I-OS),CLLRTorpedo5 (IOS),Clan IOS LRT-5,0,0,0,0,0,5,5.0,2,0.5,1,T_LRM_TORPEDO,,LRTWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRT5IOS.java,CLAN,11,24000
LRT 5 (OS),CLLRTorpedo5 (OS),Clan OS LRT-5,0,0,0,0,0,5,5.0,2,1.5,1,T_LRM_TORPEDO,,LRTWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRT5OS.java,CLAN,11,15000
LRT 6,CLLRTorpedo6,,0,0,0,0,0,6,6.0,0,1.2,0,T_LRM_TORPEDO,,LRTWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRT6.java,CLAN,69,0
LRT 7,CLLRTorpedo7,,0,0,0,0,0,7,7.0,0,1.4,0,T_LRM_TORPEDO,,LRTWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRT7.java,CLAN,82,0
LRT 8,CLLRTorpedo8,,0,0,0,0,0,8,8.0,0,1.6,0,T_LRM_TORPEDO,,LRTWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRT8.java,CLAN,93,0
LRT 9,CLLRTorpedo9,,0,0,0,0,0,9,9.0,0,1.8,0,T_LRM_TORPEDO,,LRTWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRT9.java,CLAN,95,0
Streak LRM 1,CLStreakLRM1,Clan Streak LRM-1,7,14,21,28,0,1,1.0,1,0.4,1,T_LRM_STREAK,,StreakLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLStreakLRM1.java,CLAN,17,15000
Streak LRM 10,CLStreakLRM10,Clan Streak LRM-10,7,14,21,28,0,10,10.0,4,5.0,2,T_LRM_STREAK,,StreakLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLStreakLRM10.java,CLAN,173,225000
Streak LRM 10 (I-OS),CLIOSStreakLRM10,Clan Streak LRM-10 (IOS),7,14,21,28,0,10,10.0,4,4.5,2,T_LRM_STREAK,,StreakLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLStreakLRM10IOS.java,CLAN,35,180000
Streak LRM 10 (OS),CLOSStreakLRM10,Clan Streak LRM-10 (OS),7,14,21,28,0,10,10.0,4,5.5,2,T_LRM_STREAK,,StreakLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLStreakLRM10OS.java,CLAN,35,112500
Streak LRM 11,CLStreakLRM11,Clan Streak LRM-11,7,14,21,28,0,11,11.0,0,4.4,1,T_LRM_STREAK,,StreakLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLStreakLRM11.java,CLAN,190,165000
Streak LRM 11 (OS),CLStreakLRM11OS,Clan Streak LRM-11 (OS),7,14,21,28,0,11,11.0,0,4.9,1,T_LRM_STREAK,,StreakLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLStreakLRM11OS.java,CLAN,190,165000
Streak LRM 12,CLStreakLRM12,Clan Streak LRM-12,7,14,21,28,0,12,12.0,0,4.8,1,T_LRM_STREAK,,StreakLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLStreakLRM12.java,CLAN,207,180000
Streak LRM 12 (OS),CLStreakLRM12 (OS),Clan Streak LRM-12,7,14,21,28,0,12,12.0,0,5.3,1,T_LRM_STREAK,,StreakLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLStreakLRM12OS.java,CLAN,207,180000
Streak LRM 13,CLStreakLRM13,Clan Streak LRM-13,7,14,21,28,0,13,13.0,0,5.2,1,T_LRM_STREAK,,StreakLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLStreakLRM13.java,CLAN,224,195000
Streak LRM 13 (OS),CLStreakLRM13OS,Clan Streak LRM-13 (OS),7,14,21,28,0,13,13.0,0,5.7,1,T_LRM_STREAK,,StreakLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLStreakLRM13OS.java,CLAN,224,195000
Streak LRM 14,CLStreakLRM14,Clan Streak LRM-14,7,14,21,28,0,14,14.0,0,5.6,1,T_LRM_STREAK,,StreakLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLStreakLRM14.java,CLAN,241,210000
Streak LRM 14 (OS),CLStreakLRM14OS,Clan Streak LRM-14 (OS),7,14,21,28,0,14,14.0,0,6.1,1,T_LRM_STREAK,,StreakLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLStreakLRM14OS.java,CLAN,241,210000
Streak LRM 15,CLStreakLRM15,Clan Streak LRM-15,7,14,21,28,0,15,15.0,5,7.0,3,T_LRM_STREAK,,StreakLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLStreakLRM15.java,CLAN,259,400000
Streak LRM 15 (I-OS),CLIOSStreakLRM15,Clan Streak LRM-15 (IOS),7,14,21,28,0,15,15.0,5,6.5,3,T_LRM_STREAK,,StreakLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLStreakLRM15IOS.java,CLAN,52,320000
Streak LRM 15 (OS),CLOSStreakLRM15,Clan Streak LRM-15 (OS),7,14,21,28,0,15,15.0,5,7.5,3,T_LRM_STREAK,,StreakLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLStreakLRM15OS.java,CLAN,52,200000
Streak LRM 16,CLStreakLRM16,Clan Streak LRM-16,7,14,21,28,0,16,16.0,0,6.4,1,T_LRM_STREAK,,StreakLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLStreakLRM16.java,CLAN,276,240000
Streak LRM 16 (OS),CLStreakLRM16OS,Clan Streak LRM-16 (OS),7,14,21,28,0,16,16.0,0,6.9,1,T_LRM_STREAK,,StreakLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLStreakLRM16OS.java,CLAN,276,240000
Streak LRM 17,CLStreakLRM17,Clan Streak LRM-17,7,14,21,28,0,17,17.0,0,6.8,1,T_LRM_STREAK,,StreakLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLStreakLRM17.java,CLAN,293,255000
Streak LRM 17 (OS),CLStreakLRM17OS,Clan Streak LRM-17 (OS),7,14,21,28,0,17,17.0,0,7.3,1,T_LRM_STREAK,,StreakLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLStreakLRM17OS.java,CLAN,293,255000
Streak LRM 18,CLStreakLRM18,Clan Streak LRM-18,7,14,21,28,0,18,18.0,0,7.2,1,T_LRM_STREAK,,StreakLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLStreakLRM18.java,CLAN,310,270000
Streak LRM 18 (OS),CLStreakLRM18OS,Clan Streak LRM-18 (OS),7,14,21,28,0,18,18.0,0,7.7,1,T_LRM_STREAK,,StreakLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLStreakLRM18OS.java,CLAN,310,270000
Streak LRM 19,CLStreakLRM19,Clan Streak LRM-19,7,14,21,28,0,19,19.0,0,7.6,1,T_LRM_STREAK,,StreakLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLStreakLRM19.java,CLAN,327,285000
Streak LRM 19 (OS),CLStreakLRM19OS,Clan Streak LRM-19 (OS),7,14,21,28,0,19,19.0,0,8.1,1,T_LRM_STREAK,,StreakLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLStreakLRM19OS.java,CLAN,327,285000
Streak LRM 1 (OS),CLStreakLRM1OS,Clan Streak LRM-1 (OS),7,14,21,28,0,1,1.0,0,0.0,1,T_LRM_STREAK,,StreakLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLStreakLRM1OS.java,CLAN,17,15000
Streak LRM 2,CLStreakLRM2,Clan Streak LRM-2,7,14,21,28,0,2,2.0,0,0.8,1,T_LRM_STREAK,,StreakLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLStreakLRM2.java,CLAN,34,30000
Streak LRM 20,CLStreakLRM20,Clan Streak LRM-20,7,14,21,28,0,20,20.0,6,10.0,5,T_LRM_STREAK,,StreakLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLStreakLRM20.java,CLAN,345,600000
Streak LRM 20 (I-OS),CLIOSStreakLRM20,Clan Streak LRM-20 (IOS),7,14,21,28,0,20,20.0,6,9.5,5,T_LRM_STREAK,,StreakLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLStreakLRM20IOS.java,CLAN,69,480000
Streak LRM 20 (OS),CLOSStreakLRM20,Clan Streak LRM-20 (OS),7,14,21,28,0,20,20.0,6,10.5,5,T_LRM_STREAK,,StreakLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLStreakLRM20OS.java,CLAN,69,300000
