UnitType,Name,FullName,Common,Class,Model,Role,PV,BV,Type,Size,Tonnage,ASMove,Short,Medium,Long,Overheat,CBTMove,Armor,ArmorIcons,Structure,StructureIcons,TMM,RegSkill,VetSkill,RegPV,VetPV,Specials,TUR,AMS,ECM2,ECM6,PRB,IF,APC,CAR,ART,STL,MHQ,,,,,SpecialRules,ImageURL,MULId,Weapons,WepName1,Shots1,Dam1,Range1,WepName2,Shots2,Dam2,Range2,WepName3,Shots3,Dam3,Range3,WepName4,Shots4,Dam4,Range4,WepName5,Shots5,Dam5,Range5,WepName6,Shots6,Dam6,Range6,WepName7,Shots7,Dam7,Range7,CombDam1,CombDam2,CombDam3,CombDam4,CombDam5,CombDam6,CombDam7,,Star League (2571 - 2780),Early Succession War (2781 - 2900),Late Succession War - LosTech (2901 - 3019),Late Succession War - Renaissance (3020 - 3049),Clan Invasion (3050 - 3061),Civil War (3062 - 3067),Jihad (3068 - 3085),Early Republic (3086 - 3100),Late Republic (3101 - 3130),Dark Ages (3131 - 3150),ilClan (3151 - 9999)
Vehicle,Ajax Assault Tank C,Ajax Assault Tank C,,Ajax Assault Tank,C,Juggernaut,51,1883,CV,4,90,"6""t",7,7,2,0,3T,10,AAAAAAAAAA,5,SSSSS,+1,5,4,61,71,"CASE,ECM,OMNI,SRCH,TUR(2/2/2)",TUR,,,ECM,,,,,,,,,,,,"TUR, ECM",https://i.ibb.co/KLhB9QZ/savannah-master-hovercraft-rg.png,2806,"Streak SRM 6 - 16x2 @ 3/6/9
MRM 40 - 5x5 @ 3/8/15
PPC - 1x10 @ 6/12/18",Streak SRM 6,16,2,3/6/9,MRM 40,5,5,3/8/15,PPC,1,10,6/12/18,,,,,,,,,,,,,,,,,16x2,5x5,1x10,,,,,,Unknown,Unknown,Unknown,Lyran Commonwealth,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Vehicle,Ajax Assault Tank D,Ajax Assault Tank D,,Ajax Assault Tank,D,Missile Boat,46,1507,CV,4,90,"6""t",2,2,0,0,3T,10,AAAAAAAAAA,5,SSSSS,+1,6,5,46,55,"ARTAIS-1,CASE,CT8,DCC6,ECM,IT4,OMNI,REAR0*/0*/-,SRCH,TUR(1/1/-,ARTAIS-1)",TUR,,,ECM,,,IT4,,ARTAIS-1,,,,,,,"TUR, ECM, IT4, ARTAIS-1",https://i.ibb.co/KLhB9QZ/savannah-master-hovercraft-rg.png,5065,"Light Machine Gun - 3x1 @ 2/4/6
Arrow IV - 1x20 @ 1/2/8
ER Medium Laser - 2x5 @ 4/8/12",Light Machine Gun,3,1,2/4/6,Arrow IV,1,20,1/2/8,ER Medium Laser,2,5,4/8/12,,,,,,,,,,,,,,,,,3x1,1x20,2x5,,,,,,,,,,,,,,,,
Vehicle,Ajax Assault Tank Prime,Ajax Assault Tank Prime,,Ajax Assault Tank,Prime,Juggernaut,50,1789,CV,4,90,"6""t",5,6,3,0,3T,10,AAAAAAAAAA,5,SSSSS,+1,6,5,50,60,"C3S,CASE,MHQ1,OMNI,SRCH,TUR(5/6/3)",TUR,,,,,,,,,,,,,,,TUR,https://i.ibb.co/rmQfRg4/swift-wind-3039.png,3145,"Ultra AC/10 - 2x10 @ 6/12/18
Gauss Rifle - 1x15 @ 7/15/22
Medium Pulse Laser - 2x6 @ 2/4/6
Streak SRM 4 - 3x2 @ 3/6/9",Ultra AC/10,2,10,6/12/18,Gauss Rifle,1,15,7/15/22,Medium Pulse Laser,2,6,2/4/6,Streak SRM 4,3,2,3/6/9,,,,,,,,,,,,,2x10,1x15,2x6,3x2,,,,,,,,,,,,,,,
Vehicle,Alacorn Heavy Tank Mk. I,Alacorn Heavy Tank Mk. I,,Alacorn Heavy Tank,Mk. I,Juggernaut,27,1080,CV,4,95,"6""t",3,3,0,0,3T,6,AAAAAA,5,SSSSS,+1,6,5,27,32,"AC3/3/-,SRCH,TUR(3/3/-,AC3/3/-)",TUR,,,,,,,,,,,,,,,TUR,https://i.ibb.co/rmQfRg4/swift-wind-3039.png,3142,AC/10 - 3x10 @ 5/10/15,AC/10,3,10,5/10/15,,,,,,,,,,,,,,,,,,,,,,,,,3x10,,,,,,,,Unknown,Capellan Confederation,Capellan Confederation,"Capellan Confederation, St. Ives Compact","Capellan Confederation, St. Ives Compact","Capellan Confederation, St. Ives Compact",Capellan Confederation,Capellan Confederation,Extinct,Extinct,Extinct
Vehicle,Alacorn Heavy Tank Mk. II,Alacorn Heavy Tank Mk. II,,Alacorn Heavy Tank,Mk. II,Juggernaut,29,1017,CV,4,95,"6""t",5,5,0,0,3T,4,AAAA,5,SSSSS,+1,6,5,29,35,"AC5/5/-,SRCH,TUR(5/5/-,AC5/5/-)",TUR,,,,,,,,,,,,,,,TUR,https://i.ibb.co/rmQfRg4/swift-wind-3039.png,3143,AC/20 - 3x20 @ 3/6/9,AC/20,3,20,3/6/9,,,,,,,,,,,,,,,,,,,,,,,,,3x20,,,,,,,,Unknown,Capellan Confederation,Capellan Confederation,"Capellan Confederation, St. Ives Compact","Capellan Confederation, St. Ives Compact","Capellan Confederation, St. Ives Compact",Capellan Confederation,Capellan Confederation,Extinct,Extinct,Extinct
Vehicle,Alacorn Heavy Tank Mk. III,Alacorn Heavy Tank Mk. III,,Alacorn Heavy Tank,Mk. III,Juggernaut,35,1432,CV,4,95,"6""t",3,3,0,0,3T,10,AAAAAAAAAA,5,SSSSS,+1,6,5,35,42,"AC3/3/-,SRCH,TUR(3/3/-,AC3/3/-)",TUR,,,,,,,,,,,,,,,TUR,https://i.ibb.co/rmQfRg4/swift-wind-3039.png,3144,AC/10 - 3x10 @ 5/10/15,AC/10,3,10,5/10/15,,,,,,,,,,,,,,,,,,,,,,,,,3x10,,,,,,,,Unknown,Capellan Confederation,Capellan Confederation,"Capellan Confederation, St. Ives Compact","Capellan Confederation, St. Ives Compact","Capellan Confederation, Magistracy of Canopus, St. Ives Compact, Taurian Concordat","Calderon Protectorate, Capellan Confederation, Fronc Reaches, Magistracy of Canopus, Taurian Concordat","Calderon Protectorate, Capellan Confederation, Free Worlds League (Duchy of Andurien), Fronc Reaches, Magistracy of Canopus, Taurian Concordat","Calderon Protectorate, Free Worlds League (Duchy of Andurien), Fronc Reaches, Magistracy of Canopus, Taurian Concordat","Calderon Protectorate, Free Worlds League (Duchy of Andurien), Fronc Reaches, Magistracy of Canopus, Taurian Concordat","Calderon Protectorate, Free Worlds League (Duchy of Andurien), Fronc Reaches, Magistracy of Canopus, Taurian Concordat"
Vehicle,Alacorn Heavy Tank Mk. IV,Alacorn Heavy Tank Mk. IV,,Alacorn Heavy Tank,Mk. IV,Juggernaut,38,1400,CV,4,95,"6""t",6,6,0,0,3T,7,AAAAAAA,5,SSSSS,+1,6,5,38,46,"AC6/6/-,SRCH,TUR(6/6/-,AC6/6/-)",TUR,,,,,,,,,,,,,,,TUR,https://i.ibb.co/GQ71C7t/armored-personnel-carrier-hover-3039.png,111,AC/20 - 3x20 @ 3/6/9,AC/20,3,20,3/6/9,,,,,,,,,,,,,,,,,,,,,,,,,3x20,,,,,,,,"Inner Sphere General, Mercenary, Periphery General, Star League General","HW Clan General, Inner Sphere General, Mercenary, Periphery General, Star League in Exile","ComStar, HW Clan General, Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","ComStar, HW Clan General, Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","HW Clan General, Inner Sphere General, IS Clan General, Mercenary, Periphery General, Wolf's Dragoons","HW Clan General, Inner Sphere General, IS Clan General, Mercenary, Periphery General, Wolf's Dragoons","Escorpión Imperio, HW Clan General, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Escorpión Imperio, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Escorpión Imperio, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Escorpión Imperio, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Periphery General, Scorpion Empire, Wolf's Dragoons","Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Periphery General, Scorpion Empire, Wolf's Dragoons"
Vehicle,Alacorn Heavy Tank Mk. VI,Alacorn Heavy Tank Mk. VI,,Alacorn Heavy Tank,Mk. VI,Sniper,39,1850,CV,4,95,"6""t",4,5,5,0,3T,7,AAAAAAA,5,SSSSS,+1,6,5,39,47,"SRCH,TUR(4/5/5)",TUR,,,,,,,,,,,,,,,TUR,https://i.ibb.co/GQ71C7t/armored-personnel-carrier-hover-3039.png,3731,Gauss Rifle - 3x15 @ 7/15/22,Gauss Rifle,3,15,7/15/22,,,,,,,,,,,,,,,,,,,,,,,,,3x15,,,,,,,,"Inner Sphere General, Mercenary, Periphery General, Star League General","Inner Sphere General, Mercenary, Periphery General","Marian Hegemony, Taurian Concordat","Marian Hegemony, Taurian Concordat","Marian Hegemony, Taurian Concordat","Marian Hegemony, Taurian Concordat","Fronc Reaches, Marian Hegemony, Taurian Concordat","Fronc Reaches, Marian Hegemony, Taurian Concordat","Fronc Reaches, Marian Hegemony, Taurian Concordat","Fronc Reaches, Marian Hegemony, Taurian Concordat","Fronc Reaches, Marian Hegemony, Taurian Concordat"
Vehicle,Alacorn Heavy Tank Mk. VII,Alacorn Heavy Tank Mk. VII,,Alacorn Heavy Tank,Mk. VII,Juggernaut,39,2163,CV,4,95,"6""t",4,4,2,0,3T,10,AAAAAAAAAA,4,SSSS,+1,6,5,40,48,SRCH,,,,,,,,,,,,,,,,,https://i.ibb.co/GQ71C7t/armored-personnel-carrier-hover-3039.png,114,Heavy Gauss Rifle - 2x15 @ 6/13/20,Heavy Gauss Rifle,2,15,6/13/20,,,,,,,,,,,,,,,,,,,,,,,,,2x15,,,,,,,,"Inner Sphere General, Mercenary, Periphery General, Star League General","HW Clan General, Inner Sphere General, Mercenary, Periphery General, Star League in Exile","ComStar, HW Clan General, Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","ComStar, HW Clan General, Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","HW Clan General, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","HW Clan General, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Escorpión Imperio, HW Clan General, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Escorpión Imperio, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Escorpión Imperio, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Escorpión Imperio, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Periphery General, Scorpion Empire, Wolf's Dragoons","Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Periphery General, Scorpion Empire, Wolf's Dragoons"
Vehicle,Anat APC,Anat APC,,Anat APC,,Scout,14,308,CV,1,25,"16""w",1,0,0,0,8W,2,AA,2,SS,+3,5,4,17,20,"AMP,ENE,FC,IT5,SRCH,TUR(1/-/-)",TUR,,,,,,IT5,,,,,,,,,"TUR, IT5",https://i.ibb.co/GQ71C7t/armored-personnel-carrier-hover-3039.png,115,Micro Pulse Laser - 2x3 @ 1/2/3,Micro Pulse Laser,2,3,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,2x3,,,,,,,,"Inner Sphere General, Periphery General, Rim Worlds Republic - Terran Corps, Star League General","HW Clan General, Inner Sphere General, Mercenary, Periphery General, Star League in Exile","ComStar, HW Clan General, Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","ComStar, HW Clan General, Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","HW Clan General, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","HW Clan General, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Escorpión Imperio, HW Clan General, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Escorpión Imperio, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Escorpión Imperio, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Escorpión Imperio, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Periphery General, Scorpion Empire, Wolf's Dragoons","Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Periphery General, Scorpion Empire, Wolf's Dragoons"
Vehicle,Anhur (P-Stealth),Anhur (P-Stealth),,Anhur,(P-Stealth),Missile Boat,29,1035,CV,1,30,"16""v",2,2,2,0,8V,2,AA,2,SS,+4,6,5,29,35,"ATMO,CASE,CT6,ECM,IF1,LRM1/1/1,SRCH,STL",,,,ECM,,IF1,,,,STL,,,,,,"ECM, IF1, STL",https://i.ibb.co/sW2BqkV/armored-personnel-carrier-tracked-3039.png,116,LRM 15 - 4x5 @ 7/14/21,LRM 15,4,5,7/14/21,,,,,,,,,,,,,,,,,,,,,,,,,4x5,,,,,,,,"Inner Sphere General, Mercenary, Periphery General, Star League General","Inner Sphere General, Mercenary, Periphery General, Star League in Exile","ComStar, Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","ComStar, Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","Escorpión Imperio, Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Escorpión Imperio, Inner Sphere General, Mercenary, Periphery General, Rasalhague Dominion, Raven Alliance","Escorpión Imperio, Inner Sphere General, Mercenary, Periphery General, Rasalhague Dominion, Raven Alliance","Clan Wolf, Escorpión Imperio, Inner Sphere General, Mercenary, Periphery General, Rasalhague Dominion, Raven Alliance, Scorpion Empire","Inner Sphere General, Mercenary, Periphery General, Rasalhague Dominion, Raven Alliance, Scorpion Empire, Wolf Empire"
Vehicle,Anhur Transport,Anhur Transport,,Anhur Transport,,Striker,22,720,CV,1,30,"16""v",2,2,0,0,8V,2,AA,2,SS,+3,5,4,26,30,"ATMO,ENE,IT7,REAR1/1/-,SRCH",,,,,,,IT7,,,,,,,,,IT7,https://i.ibb.co/sW2BqkV/armored-personnel-carrier-tracked-3039.png,117,"ER Medium Laser - 1x7 @ 5/10/15
Medium Pulse Laser - 1x7 @ 4/8/12",ER Medium Laser,1,7,5/10/15,Medium Pulse Laser,1,7,4/8/12,,,,,,,,,,,,,,,,,,,,,1x7,1x7,,,,,,,"Inner Sphere General, Mercenary, Periphery General, Star League General","Inner Sphere General, Mercenary, Periphery General, Star League in Exile","ComStar, Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","ComStar, Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","Escorpión Imperio, Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Escorpión Imperio, Inner Sphere General, Mercenary, Periphery General, Rasalhague Dominion, Raven Alliance","Escorpión Imperio, Inner Sphere General, Mercenary, Periphery General, Rasalhague Dominion, Raven Alliance","Clan Wolf, Escorpión Imperio, Inner Sphere General, Mercenary, Periphery General, Rasalhague Dominion, Raven Alliance, Scorpion Empire","Inner Sphere General, Mercenary, Periphery General, Rasalhague Dominion, Raven Alliance, Scorpion Empire, Wolf Empire"
Vehicle,Anhur Transport (BA),Anhur Transport (BA),,Anhur Transport,(BA),Scout,19,637,CV,1,30,"16""v",1,1,0,0,8V,2,AA,2,SS,+3,5,4,23,27,"ATMO,CASE,ECM,IT10,REAR1/1/-,SRCH",,,,ECM,,,IT10,,,,,,,,,"ECM, IT10",https://i.ibb.co/sW2BqkV/armored-personnel-carrier-tracked-3039.png,119,"ER Medium Laser - 1x7 @ 5/10/15
AP Gauss Rifle - 1x3 @ 3/6/9",ER Medium Laser,1,7,5/10/15,AP Gauss Rifle,1,3,3/6/9,,,,,,,,,,,,,,,,,,,,,1x7,1x3,,,,,,,"Inner Sphere General, Mercenary, Periphery General, Star League General","Inner Sphere General, Mercenary, Periphery General, Star League in Exile","ComStar, Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","ComStar, Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Escorpión Imperio, Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Escorpión Imperio, Inner Sphere General, Mercenary, Periphery General, Rasalhague Dominion, Raven Alliance","Escorpión Imperio, Inner Sphere General, Mercenary, Periphery General, Rasalhague Dominion, Raven Alliance","Clan Wolf, Escorpión Imperio, Inner Sphere General, Mercenary, Periphery General, Rasalhague Dominion, Raven Alliance, Scorpion Empire","Inner Sphere General, Mercenary, Periphery General, Rasalhague Dominion, Raven Alliance, Scorpion Empire, Star League (Clan Smoke Jaguar), Wolf Empire"
