UnitType,Name,FullName,Common,Class,Model,Role,PV,BV,Type,Size,Tonnage,ASMove,Short,Medium,Long,Overheat,CBTMove,Armor,ArmorIcons,Structure,StructureIcons,TMM,RegSkill,VetSkill,RegPV,VetPV,Specials,TUR,AMS,ECM2,ECM6,PRB,IF,APC,CAR,ART,STL,MHQ,,,,,,SpecialRules,ImageURL,MULId,Weapons,WepName1,Shots1,Dam1,Range1,WepName2,Shots2,Dam2,Range2,WepName3,Shots3,Dam3,Range3,WepName4,Shots4,Dam4,Range4,WepName5,Shots5,Dam5,Range5,WepName6,Shots6,Dam6,Range6,WepName7,Shots7,Dam7,Range7,CombDam1,CombDam2,CombDam3,CombDam4,CombDam5,CombDam6,CombDam7
Vehicle,Badger (C) Tracked Transport D,Badger (C) Tracked Transport D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Clan Streak SRM 6,6,2,4/8/12,,,,,,,,,,,,,,,,,,,,,,,,,6x2,,,,,,
Vehicle,Badger (C) Tracked Transport E,Badger (C) Tracked Transport E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Clan ER Small Laser,1,5,2/4/6,,,,,,,,,,,,,,,,,,,,,,,,,1x5,,,,,,
Vehicle,Badger (C) Tracked Transport F,Badger (C) Tracked Transport F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle,Badger (C) Tracked Transport H,Badger (C) Tracked Transport H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Clan Streak SRM 2,2,2,4/8/12,,,,,,,,,,,,,,,,,,,,,,,,,2x2,,,,,,
Vehicle,Badger (C) Tracked Transport Prime,Badger (C) Tracked Transport Prime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Clan ER Medium Laser,1,7,5/10/15,Clan Streak SRM 4,4,2,4/8/12,,,,,,,,,,,,,,,,,,,,,1x7,4x2,,,,,
Vehicle,Badger Tracked Transport A,Badger Tracked Transport A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,SRM 2,4,2,3/6/9,,,,,,,,,,,,,,,,,,,,,,,,,4x2,,,,,,
Vehicle,Badger Tracked Transport B,Badger Tracked Transport B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,SRM 4,4,2,3/6/9,,,,,,,,,,,,,,,,,,,,,,,,,4x2,,,,,,
Vehicle,Badger Tracked Transport C,Badger Tracked Transport C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,LRM 5,2,5,7/14/21,,,,,,,,,,,,,,,,,,,,,,,,,2x5,,,,,,
Vehicle,Badger Tracked Transport D,Badger Tracked Transport D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Small Laser,2,3,1/2/3,Medium Laser,3,5,3/6/9,,,,,,,,,,,,,,,,,,,,,2x3,3x5,,,,,
Vehicle,Badger Tracked Transport E,Badger Tracked Transport E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Small Laser,10,3,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,10x3,,,,,,
Vehicle,Badger Tracked Transport F,Badger Tracked Transport F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,ER Medium Laser,1,5,4/8/12,,,,,,,,,,,,,,,,,,,,,,,,,1x5,,,,,,
Vehicle,Badger Tracked Transport G,Badger Tracked Transport G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Light PPC,1,5,6/12/18,SRM 2,1,2,3/6/9,,,,,,,,,,,,,,,,,,,,,1x5,1x2,,,,,
Vehicle,Badger Tracked Transport Prime,Badger Tracked Transport Prime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,SRM 2,1,2,3/6/9,Medium Laser,3,5,3/6/9,,,,,,,,,,,,,,,,,,,,,1x2,3x5,,,,,
Vehicle,Bailey Armored Car,Bailey Armored Car,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,1,Small Pulse Laser,2,3,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,2x3,,,,,,
Vehicle,Balac Strike VTOL,Balac Strike VTOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Clan ER Medium Laser,1,7,5/10/15,,,,,,,,,,,,,,,,,,,,,,,,,1x7,,,,,,
Vehicle,Balac Strike VTOL (LRM),Balac Strike VTOL (LRM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Clan LRM 15,2,5,7/14/21,Clan ER Medium Laser,1,7,5/10/15,,,,,,,,,,,,,,,,,,,,,2x5,1x7,,,,,
Vehicle,Balac Strike VTOL (Spotter),Balac Strike VTOL (Spotter),,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle,Ballista Artillery Trailer,Ballista Artillery Trailer,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,2,Light Machine Gun,6,1,2/4/6,ER Medium Laser,2,5,4/8/12,,,,,,,,,,,,,,,,,,,,,6x1,2x5,,,,,
Vehicle,Ballista Self Propelled Artillery Tank,Ballista Self Propelled Artillery Tank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Machine Gun,3,2,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,3x2,,,,,,
Vehicle,Bandit (C) Hovercraft A,Bandit (C) Hovercraft A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Clan SRM 2,2,2,3/6/9,Clan ER Large Laser,1,10,8/15/25,,,,,,,,,,,,,,,,,,,,,2x2,1x10,,,,,
Vehicle,Bandit (C) Hovercraft B,Bandit (C) Hovercraft B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Clan LRM 20,2,5,7/14/21,,,,,,,,,,,,,,,,,,,,,,,,,2x5,,,,,,
Vehicle,Bandit (C) Hovercraft C,Bandit (C) Hovercraft C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Clan Medium Pulse Laser,3,7,4/8/12,,,,,,,,,,,,,,,,,,,,,,,,,3x7,,,,,,
Vehicle,Bandit (C) Hovercraft D,Bandit (C) Hovercraft D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Clan ER Medium Laser,2,7,5/10/15,Clan LB 2-X AC (Slug),1,2,10/20/30,-- OR --,,,,Clan LB 2-X AC (Pellet),1,1,10/20/30,,,,,,,,,,,,,2x7,1x2,,1x1,,,
Vehicle,Bandit (C) Hovercraft F,Bandit (C) Hovercraft F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Clan Streak SRM 2,2,2,4/8/12,,,,,,,,,,,,,,,,,,,,,,,,,2x2,,,,,,
Vehicle,Bandit (C) Hovercraft G,Bandit (C) Hovercraft G,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,1,Clan ER Medium Laser,1,7,5/10/15,,,,,,,,,,,,,,,,,,,,,,,,,1x7,,,,,,
Vehicle,Bandit (C) Hovercraft H,Bandit (C) Hovercraft H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Clan Medium Pulse Laser,1,7,4/8/12,Clan Streak SRM 4,4,2,4/8/12,,,,,,,,,,,,,,,,,,,,,1x7,4x2,,,,,
Vehicle,Bandit (C) Hovercraft Prime,Bandit (C) Hovercraft Prime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Clan Streak SRM 6,12,2,4/8/12,,,,,,,,,,,,,,,,,,,,,,,,,12x2,,,,,,
Vehicle,Bandit Hovercraft A,Bandit Hovercraft A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,PPC,1,10,6/12/18,,,,,,,,,,,,,,,,,,,,,,,,,1x10,,,,,,
Vehicle,Bandit Hovercraft B,Bandit Hovercraft B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,SRM 2,1,2,3/6/9,SRM 4,4,2,3/6/9,,,,,,,,,,,,,,,,,,,,,1x2,4x2,,,,,
Vehicle,Bandit Hovercraft C,Bandit Hovercraft C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,SRM 6,8,2,3/6/9,,,,,,,,,,,,,,,,,,,,,,,,,8x2,,,,,,
Vehicle,Bandit Hovercraft D,Bandit Hovercraft D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,LRM 5,3,5,7/14/21,,,,,,,,,,,,,,,,,,,,,,,,,3x5,,,,,,
Vehicle,Bandit Hovercraft E,Bandit Hovercraft E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Medium Laser,1,5,3/6/9,LRM 10,1,5,7/14/21,,,,,,,,,,,,,,,,,,,,,1x5,1x5,,,,,
Vehicle,Bandit Hovercraft F,Bandit Hovercraft F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Medium Laser,1,5,3/6/9,Large Laser,1,8,5/10/15,,,,,,,,,,,,,,,,,,,,,1x5,1x8,,,,,
Vehicle,Bandit Hovercraft G,Bandit Hovercraft G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Small Laser,6,3,1/2/3,Medium Laser,2,5,3/6/9,,,,,,,,,,,,,,,,,,,,,6x3,2x5,,,,,
Vehicle,Bandit Hovercraft H,Bandit Hovercraft H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ER Medium Laser,1,5,4/8/12,SRM 2,1,2,3/6/9,,,,,,,,,,,,,,,,,,,,,1x5,1x2,,,,,
Vehicle,Bandit Hovercraft I,Bandit Hovercraft I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Light Machine Gun,1,1,2/4/6,Light PPC,2,5,6/12/18,,,,,,,,,,,,,,,,,,,,,1x1,2x5,,,,,
Vehicle,Bandit Hovercraft Prime,Bandit Hovercraft Prime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,SRM 2,2,2,3/6/9,Machine Gun,1,2,1/2/3,Medium Laser,3,5,3/6/9,,,,,,,,,,,,,,,,,2x2,1x2,3x5,,,,
Vehicle,Bandit Mk II,Bandit Mk II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Medium VSP Laser,1,6,2/5/9,Machine Gun,2,2,1/2/3,,,,,,,,,,,,,,,,,,,,,1x6,2x2,,,,,
Vehicle,Bandit Warthog,Bandit Warthog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Large VSP Laser,1,9,4/8/15,Machine Gun,1,2,1/2/3,,,,,,,,,,,,,,,,,,,,,1x9,1x2,,,,,
Vehicle,Bardiche Heavy Strike Tank,Bardiche Heavy Strike Tank,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,1,Light PPC,2,5,6/12/18,,,,,,,,,,,,,,,,,,,,,,,,,2x5,,,,,,
Vehicle,Bardiche Heavy Strike Tank (Minesweeper),Bardiche Heavy Strike Tank (Minesweeper),,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,1,Heavy PPC,1,15,6/12/18,,,,,,,,,,,,,,,,,,,,,,,,,1x15,,,,,,
