Name,Class,Model,Role,PV,BV,Type,Size,Tonnage,Move,Short,Medium,Long,Overheat,Armor,Structure,Specials,ImageURL,MULId,Star League (2571 - 2780),Early Succession War (2781 - 2900),Late Succession War - LosTech (2901 - 3019),Late Succession War - Renaissance (3020 - 3049),Clan Invasion (3050 - 3061),Civil War (3062 - 3067),Jihad (3068 - 3085),Early Republic (3086 - 3100),Late Republic (3101 - 3130),Dark Ages (3131 - 3150),ilClan (3151 - 9999)
Swift Wind Scout Car (ICE - Cargo),Swift Wind Scout Car,(ICE - Cargo),Scout,7,81,CV,1,8,"16""w",0,0,0,0,1,1,"CT3,EE,ENE,SRCH",https://i.ibb.co/rmQfRg4/swift-wind-3039.png,3142,Unknown,Capellan Confederation,Capellan Confederation,"Capellan Confederation, St. Ives Compact","Capellan Confederation, St. Ives Compact","Capellan Confederation, St. Ives Compact",Capellan Confederation,Capellan Confederation,Extinct,Extinct,Extinct
Swift Wind Scout Car (ICE - Speed),Swift Wind Scout Car,(ICE - Speed),Scout,5,39,CV,1,8,"22""w",0,0,0,0,0,1,"CT3,EE,ENE,SRCH",https://i.ibb.co/rmQfRg4/swift-wind-3039.png,3143,Unknown,Capellan Confederation,Capellan Confederation,"Capellan Confederation, St. Ives Compact","Capellan Confederation, St. Ives Compact","Capellan Confederation, St. Ives Compact",Capellan Confederation,Capellan Confederation,Extinct,Extinct,Extinct
Swift Wind Scout Car (ICE),Swift Wind Scout Car,(ICE),Scout,12,83,CV,1,8,"20""w",0,0,0,0,1,1,"EE,ENE,MHQ2,RCN,SRCH",https://i.ibb.co/rmQfRg4/swift-wind-3039.png,3144,Unknown,Capellan Confederation,Capellan Confederation,"Capellan Confederation, St. Ives Compact","Capellan Confederation, St. Ives Compact","Capellan Confederation, Magistracy of Canopus, St. Ives Compact, Taurian Concordat","Calderon Protectorate, Capellan Confederation, Fronc Reaches, Magistracy of Canopus, Taurian Concordat","Calderon Protectorate, Capellan Confederation, Free Worlds League (Duchy of Andurien), Fronc Reaches, Magistracy of Canopus, Taurian Concordat","Calderon Protectorate, Free Worlds League (Duchy of Andurien), Fronc Reaches, Magistracy of Canopus, Taurian Concordat","Calderon Protectorate, Free Worlds League (Duchy of Andurien), Fronc Reaches, Magistracy of Canopus, Taurian Concordat","Calderon Protectorate, Free Worlds League (Duchy of Andurien), Fronc Reaches, Magistracy of Canopus, Taurian Concordat"
Armored Personnel Carrier (Hover LRM),Armored Personnel Carrier,(Hover LRM),Missile Boat,12,193,CV,1,10,"20""h",0,0,0,0,1,1,"EE,IF0*,SRCH",https://i.ibb.co/GQ71C7t/armored-personnel-carrier-hover-3039.png,111,"Inner Sphere General, Mercenary, Periphery General, Star League General","HW Clan General, Inner Sphere General, Mercenary, Periphery General, Star League in Exile","ComStar, HW Clan General, Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","ComStar, HW Clan General, Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","HW Clan General, Inner Sphere General, IS Clan General, Mercenary, Periphery General, Wolf's Dragoons","HW Clan General, Inner Sphere General, IS Clan General, Mercenary, Periphery General, Wolf's Dragoons","Escorpión Imperio, HW Clan General, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Escorpión Imperio, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Escorpión Imperio, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Escorpión Imperio, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Periphery General, Scorpion Empire, Wolf's Dragoons","Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Periphery General, Scorpion Empire, Wolf's Dragoons"
Armored Personnel Carrier (Hover MG),Armored Personnel Carrier,(Hover MG),Scout,11,114,CV,1,10,"20""h",1,0,0,0,1,1,"EE,SRCH,TUR(1/-/-)",https://i.ibb.co/GQ71C7t/armored-personnel-carrier-hover-3039.png,112,"Inner Sphere General, Mercenary, Periphery General, Star League General","HW Clan General, Inner Sphere General, Mercenary, Periphery General, Star League in Exile","ComStar, HW Clan General, Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","ComStar, HW Clan General, Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","HW Clan General, Inner Sphere General, IS Clan General, Mercenary, Periphery General, Wolf's Dragoons","HW Clan General, Inner Sphere General, IS Clan General, Mercenary, Periphery General, Wolf's Dragoons","Escorpión Imperio, HW Clan General, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Escorpión Imperio, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Escorpión Imperio, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Escorpión Imperio, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Periphery General, Scorpion Empire, Wolf's Dragoons","Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Periphery General, Scorpion Empire, Wolf's Dragoons"
Armored Personnel Carrier (Hover Sensors),Armored Personnel Carrier,(Hover Sensors),Scout,10,78,CV,1,10,"20""h",0,0,0,0,1,1,"EE,ENE,IT1,RCN,RSD1,SRCH",https://i.ibb.co/GQ71C7t/armored-personnel-carrier-hover-3039.png,3731,"Inner Sphere General, Mercenary, Periphery General, Star League General","Inner Sphere General, Mercenary, Periphery General","Marian Hegemony, Taurian Concordat","Marian Hegemony, Taurian Concordat","Marian Hegemony, Taurian Concordat","Marian Hegemony, Taurian Concordat","Fronc Reaches, Marian Hegemony, Taurian Concordat","Fronc Reaches, Marian Hegemony, Taurian Concordat","Fronc Reaches, Marian Hegemony, Taurian Concordat","Fronc Reaches, Marian Hegemony, Taurian Concordat","Fronc Reaches, Marian Hegemony, Taurian Concordat"
Armored Personnel Carrier (Hover SRM),Armored Personnel Carrier,(Hover SRM),Scout,11,131,CV,1,10,"20""h",0,0,0,0,1,1,"EE,IT1,SRCH",https://i.ibb.co/GQ71C7t/armored-personnel-carrier-hover-3039.png,114,"Inner Sphere General, Mercenary, Periphery General, Star League General","HW Clan General, Inner Sphere General, Mercenary, Periphery General, Star League in Exile","ComStar, HW Clan General, Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","ComStar, HW Clan General, Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","HW Clan General, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","HW Clan General, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Escorpión Imperio, HW Clan General, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Escorpión Imperio, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Escorpión Imperio, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Escorpión Imperio, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Periphery General, Scorpion Empire, Wolf's Dragoons","Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Periphery General, Scorpion Empire, Wolf's Dragoons"
Armored Personnel Carrier (Hover),Armored Personnel Carrier,(Hover),Scout,10,102,CV,1,10,"20""h",0,0,0,0,1,1,"EE,IT1,SRCH,TUR(0*/-/-)",https://i.ibb.co/GQ71C7t/armored-personnel-carrier-hover-3039.png,115,"Inner Sphere General, Periphery General, Rim Worlds Republic - Terran Corps, Star League General","HW Clan General, Inner Sphere General, Mercenary, Periphery General, Star League in Exile","ComStar, HW Clan General, Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","ComStar, HW Clan General, Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","HW Clan General, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","HW Clan General, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Escorpión Imperio, HW Clan General, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Escorpión Imperio, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Escorpión Imperio, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Escorpión Imperio, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Periphery General, Scorpion Empire, Wolf's Dragoons","Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Periphery General, Scorpion Empire, Wolf's Dragoons"
Armored Personnel Carrier (Tracked LRM),Armored Personnel Carrier,(Tracked LRM),Missile Boat,8,208,CV,1,10,"12""t",0,0,0,0,1,1,"EE,IF0*,SRCH",https://i.ibb.co/sW2BqkV/armored-personnel-carrier-tracked-3039.png,116,"Inner Sphere General, Mercenary, Periphery General, Star League General","Inner Sphere General, Mercenary, Periphery General, Star League in Exile","ComStar, Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","ComStar, Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","Escorpión Imperio, Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Escorpión Imperio, Inner Sphere General, Mercenary, Periphery General, Rasalhague Dominion, Raven Alliance","Escorpión Imperio, Inner Sphere General, Mercenary, Periphery General, Rasalhague Dominion, Raven Alliance","Clan Wolf, Escorpión Imperio, Inner Sphere General, Mercenary, Periphery General, Rasalhague Dominion, Raven Alliance, Scorpion Empire","Inner Sphere General, Mercenary, Periphery General, Rasalhague Dominion, Raven Alliance, Scorpion Empire, Wolf Empire"
Armored Personnel Carrier (Tracked MG),Armored Personnel Carrier,(Tracked MG),Scout,6,157,CV,1,10,"12""t",1,0,0,0,1,1,"EE,SRCH,TUR(1/-/-)",https://i.ibb.co/sW2BqkV/armored-personnel-carrier-tracked-3039.png,117,"Inner Sphere General, Mercenary, Periphery General, Star League General","Inner Sphere General, Mercenary, Periphery General, Star League in Exile","ComStar, Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","ComStar, Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","Escorpión Imperio, Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Escorpión Imperio, Inner Sphere General, Mercenary, Periphery General, Rasalhague Dominion, Raven Alliance","Escorpión Imperio, Inner Sphere General, Mercenary, Periphery General, Rasalhague Dominion, Raven Alliance","Clan Wolf, Escorpión Imperio, Inner Sphere General, Mercenary, Periphery General, Rasalhague Dominion, Raven Alliance, Scorpion Empire","Inner Sphere General, Mercenary, Periphery General, Rasalhague Dominion, Raven Alliance, Scorpion Empire, Wolf Empire"
Armored Personnel Carrier (Tracked SRM),Armored Personnel Carrier,(Tracked SRM),Scout,7,168,CV,1,10,"12""t",0,0,0,0,1,1,"EE,IT1,SRCH",https://i.ibb.co/sW2BqkV/armored-personnel-carrier-tracked-3039.png,119,"Inner Sphere General, Mercenary, Periphery General, Star League General","Inner Sphere General, Mercenary, Periphery General, Star League in Exile","ComStar, Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","ComStar, Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Escorpión Imperio, Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Escorpión Imperio, Inner Sphere General, Mercenary, Periphery General, Rasalhague Dominion, Raven Alliance","Escorpión Imperio, Inner Sphere General, Mercenary, Periphery General, Rasalhague Dominion, Raven Alliance","Clan Wolf, Escorpión Imperio, Inner Sphere General, Mercenary, Periphery General, Rasalhague Dominion, Raven Alliance, Scorpion Empire","Inner Sphere General, Mercenary, Periphery General, Rasalhague Dominion, Raven Alliance, Scorpion Empire, Star League (Clan Smoke Jaguar), Wolf Empire"
Armored Personnel Carrier (Tracked),Armored Personnel Carrier,(Tracked),Scout,6,142,CV,1,10,"12""t",0,0,0,0,1,1,"EE,IT1,SRCH,TUR(0*/-/-)",https://i.ibb.co/sW2BqkV/armored-personnel-carrier-tracked-3039.png,120,"Inner Sphere General, Mercenary, Periphery General, Star League General","Inner Sphere General, Mercenary, Periphery General, Star League in Exile","ComStar, Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","ComStar, Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Escorpión Imperio, Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Escorpión Imperio, Inner Sphere General, Mercenary, Periphery General, Rasalhague Dominion, Raven Alliance","Escorpión Imperio, Inner Sphere General, Mercenary, Periphery General, Rasalhague Dominion, Raven Alliance","Clan Wolf, Escorpión Imperio, Inner Sphere General, Mercenary, Periphery General, Rasalhague Dominion, Raven Alliance, Scorpion Empire","Inner Sphere General, Mercenary, Periphery General, Rasalhague Dominion, Raven Alliance, Scorpion Empire, Star League (Clan Smoke Jaguar), Wolf Empire"
Armored Personnel Carrier (Wheeled LRM),Armored Personnel Carrier,(Wheeled LRM),Missile Boat,8,194,CV,1,10,"12""w",0,0,0,0,1,1,"EE,IF0*,SRCH",https://i.ibb.co/1Myq3N3/armored-personnel-carrier-wheeled-3039.png,121,"Inner Sphere General, Mercenary, Periphery General, Star League General","Inner Sphere General, Mercenary, Periphery General, Star League in Exile","ComStar, Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","ComStar, Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","Escorpión Imperio, Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Escorpión Imperio, Inner Sphere General, Mercenary, Periphery General, Rasalhague Dominion","Escorpión Imperio, Inner Sphere General, Mercenary, Periphery General, Rasalhague Dominion","Clan Wolf, Escorpión Imperio, Inner Sphere General, Mercenary, Periphery General, Rasalhague Dominion, Scorpion Empire","Inner Sphere General, Mercenary, Periphery General, Rasalhague Dominion, Scorpion Empire, Wolf Empire"
Armored Personnel Carrier (Wheeled MG),Armored Personnel Carrier,(Wheeled MG),Scout,8,172,CV,1,10,"12""w",1,0,0,0,2,1,"EE,SRCH,TUR(1/-/-)",https://i.ibb.co/1Myq3N3/armored-personnel-carrier-wheeled-3039.png,122,"Inner Sphere General, Mercenary, Periphery General, Star League General","Inner Sphere General, Mercenary, Periphery General, Star League in Exile","ComStar, Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","ComStar, Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","Escorpión Imperio, Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Escorpión Imperio, Inner Sphere General, Mercenary, Periphery General, Rasalhague Dominion","Escorpión Imperio, Inner Sphere General, Mercenary, Periphery General, Rasalhague Dominion","Clan Wolf, Escorpión Imperio, Inner Sphere General, Mercenary, Periphery General, Rasalhague Dominion, Scorpion Empire","Inner Sphere General, Mercenary, Periphery General, Rasalhague Dominion, Scorpion Empire, Wolf Empire"
Armored Personnel Carrier (Wheeled SRM),Armored Personnel Carrier,(Wheeled SRM),Scout,9,176,CV,1,10,"12""w",0,0,0,0,2,1,"EE,IT1,SRCH,TUR(0*/0*/-)",https://i.ibb.co/1Myq3N3/armored-personnel-carrier-wheeled-3039.png,124,"Inner Sphere General, Mercenary, Periphery General, Star League General","Inner Sphere General, Mercenary, Periphery General, Star League in Exile","ComStar, Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","ComStar, Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Escorpión Imperio, Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Escorpión Imperio, Inner Sphere General, Mercenary, Periphery General, Rasalhague Dominion","Escorpión Imperio, Inner Sphere General, Mercenary, Periphery General, Rasalhague Dominion","Clan Wolf, Escorpión Imperio, Inner Sphere General, Mercenary, Periphery General, Rasalhague Dominion, Scorpion Empire","Inner Sphere General, Mercenary, Periphery General, Rasalhague Dominion, Scorpion Empire, Star League (Clan Smoke Jaguar), Star League (Clan Wolf), Wolf Empire"
Armored Personnel Carrier (Wheeled),Armored Personnel Carrier,(Wheeled),Scout,8,157,CV,1,10,"12""w",0,0,0,0,2,1,"EE,IT1,SRCH,TUR(0*/-/-)",https://i.ibb.co/1Myq3N3/armored-personnel-carrier-wheeled-3039.png,125,"Inner Sphere General, Mercenary, Periphery General, Star League General","Inner Sphere General, Mercenary, Periphery General, Star League in Exile","ComStar, Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","ComStar, Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Escorpión Imperio, Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Escorpión Imperio, Inner Sphere General, Mercenary, Periphery General, Rasalhague Dominion","Escorpión Imperio, Inner Sphere General, Mercenary, Periphery General, Rasalhague Dominion","Clan Wolf, Escorpión Imperio, Inner Sphere General, Mercenary, Periphery General, Rasalhague Dominion, Scorpion Empire","Inner Sphere General, Mercenary, Periphery General, Rasalhague Dominion, Scorpion Empire, Star League (Clan Smoke Jaguar), Star League (Clan Wolf), Wolf Empire"
Flatbed Truck  ,Flatbed Truck, ,Scout,2,34,CV,1,10,"10""w",0,0,0,0,0,1,"CT6,EE,ENE,SRCH",https://i.ibb.co/Qpp93wb/flatbed-truck-3060.png,1134,,,,,,,,,,,
Flatbed Truck (Armor),Flatbed Truck,(Armor),Scout,4,117,CV,1,10,"10""w",0,0,0,0,1,1,"CT4,EE,ENE,SRCH",https://i.ibb.co/Qpp93wb/flatbed-truck-3060.png,1129,"Inner Sphere General, Mercenary, Periphery General, Star League General","HW Clan General, Inner Sphere General, Mercenary, Periphery General, Star League in Exile","ComStar, HW Clan General, Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","ComStar, HW Clan General, Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","HW Clan General, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","HW Clan General, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","HW Clan General, Inner Sphere General, IS Clan General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, IS Clan General, Mercenary, Periphery General","Inner Sphere General, IS Clan General, Mercenary, Periphery General","Inner Sphere General, IS Clan General, Mercenary, Periphery General","Inner Sphere General, IS Clan General, Mercenary, Periphery General"
Flatbed Truck (LRM),Flatbed Truck,(LRM),Missile Boat,8,172,CV,1,10,"10""w",0,1,1,0,0,1,"EE,IF1,SRCH",https://i.ibb.co/Qpp93wb/flatbed-truck-3060.png,1130,Unknown,"Inner Sphere General, Mercenary, Periphery General, Star League in Exile","Inner Sphere General, Mercenary, Periphery General","Inner Sphere General, Mercenary, Periphery General","Inner Sphere General, Mercenary, Periphery General","Inner Sphere General, Mercenary, Periphery General","Inner Sphere General, Mercenary, Periphery General","Inner Sphere General, Mercenary, Periphery General","Inner Sphere General, Mercenary, Periphery General","Inner Sphere General, Mercenary, Periphery General","Inner Sphere General, Mercenary, Periphery General"
Flatbed Truck (Mortar),Flatbed Truck,(Mortar),Sniper,5,65,CV,1,10,"10""w",0,0,0,0,0,1,"EE,REAR0*/0*/0*,SRCH",https://i.ibb.co/Qpp93wb/flatbed-truck-3060.png,1131,"Inner Sphere General, Mercenary, Periphery General, Star League General","Inner Sphere General, Mercenary, Periphery General, Star League in Exile",Extinct,"ComStar, Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Mercenary, Periphery General","Inner Sphere General, Mercenary, Periphery General","Inner Sphere General, Mercenary, Periphery General","Inner Sphere General, Mercenary, Periphery General"
Flatbed Truck (RL),Flatbed Truck,(RL),Scout,6,232,CV,1,10,"10""w",0,0,0,0,1,1,"EE,ENE,SRCH,",https://i.ibb.co/Qpp93wb/flatbed-truck-3060.png,1132,Unknown,Star League in Exile,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
